timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
171931972,26344279,699,40,3.888804,2.011372,0.078881,4.257156,6.347408,18.212285,3.336299,0.762573,0.0
171932927,26345234,599,44,4.087218,5.158517,0.025108,4.146505,9.330129,21.796127,3.263259,0.733521,0.0
171934019,26346326,1796,40,4.107936,0.835486,0.005931,3.851975,4.693393,14.836597,3.004626,0.782959,0.0
171934907,26347214,828,44,4.204533,1.870135,0.054073,4.671969,6.596177,19.773099,3.712476,1.317993,0.0
171936076,26348383,1819,42,4.312154,2.812217,0.04188,4.740077,7.594174,20.661569,3.770983,0.841187,0.0
171936936,26349243,1115,45,4.460563,3.206095,0.195845,4.464912,7.866852,20.615132,3.512964,0.732056,0.0
171938025,26350332,599,40,4.476064,0.843446,0.000566,4.120085,4.964098,15.870133,3.234651,0.739136,0.0
171938916,26351223,1215,41,4.525618,1.453456,0.046618,4.251256,5.751329,17.267746,3.33528,0.738647,1.109375
171940014,26352321,854,40,4.536356,0.776537,0.007878,4.078669,4.863084,15.670999,3.191091,0.733521,0.0
171940930,26353237,699,40,4.583121,0.81084,0.008108,4.908859,5.727808,20.466066,3.997942,0.745972,0.0
171941949,26354256,799,40,4.622704,1.571238,0.032886,4.19028,5.794404,17.203376,3.287227,0.7323,0.0
171942954,26355261,599,39,4.583539,0.537181,0.032886,2.978581,3.548647,10.936842,2.266199,0.733521,0.0
171943974,26356281,1273,40,4.587504,0.873722,0.023611,3.796898,4.69423,15.033958,2.958227,0.732422,0.0
171944977,26357284,699,40,4.612574,1.208269,0.03258,4.034836,5.275685,16.186105,3.152606,0.886108,0.0
171945951,26358258,599,41,4.689919,2.196475,0.03067,4.542464,6.769608,20.06657,3.63609,0.733276,0.0
171946982,26359289,588,40,4.638443,0.303986,0.03067,2.876983,3.211639,10.234181,2.177276,0.733643,0.0
171947953,26360260,699,40,4.657233,1.397758,0.019871,3.732101,5.14973,15.420118,2.90551,0.739746,0.0
171948968,26361275,499,39,4.616017,0.332839,0.019871,3.118453,3.471163,11.364192,2.384135,0.739624,0.0
171949968,26362275,898,39,4.647868,1.181539,0.006507,4.308371,5.496418,17.117751,3.386096,0.744629,0.0
171950969,26363276,599,39,4.673035,0.449075,0.000549,4.902202,5.351826,19.987057,3.981873,0.73291,0.0
171951971,26364278,599,40,4.702732,0.465355,0.000549,5.037809,5.503713,20.572388,4.106959,0.732544,0.0
171952990,26365297,1179,41,4.742072,0.960299,0.032406,4.809351,5.802056,19.490012,3.862227,0.73938,0.0
171953968,26366275,919,40,4.771906,1.636149,0.030967,3.89475,5.561866,16.206387,3.041755,0.848999,0.0
171954976,26367283,699,41,4.75858,0.638152,0.030967,3.720852,4.389971,14.019012,2.89424,0.736816,0.0
171955950,26368257,996,40,4.747987,0.575872,0.030967,3.857801,4.46464,14.784644,3.036196,0.729126,0.0
171956993,26369300,581,39,4.738008,0.642933,0.005128,3.813634,4.461695,14.353973,2.960268,0.746826,0.0
171957972,26370279,985,39,4.713108,0.69429,0.004393,3.37023,4.068913,12.906512,2.586965,0.76001,0.0
171958998,26371305,499,39,4.705657,1.094331,0.009102,3.396585,4.500018,13.332027,2.595987,0.734619,0.0
171959997,26372304,699,40,4.701926,0.850797,0.009835,3.742993,4.603624,14.619107,2.90823,0.734863,0.0
172000993,26373300,698,40,4.713361,0.559509,0.005615,4.457293,5.022417,18.16636,3.589527,0.772949,0.0
