timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
164646605,8701369,1895,41,4.350338,1.992706,0.09705,4.727342,6.817098,19.878503,14.112227,3.748997,1.001099,0.0
164647603,8702367,4093,59,4.661833,7.894941,0.127375,5.24609,13.268406,29.556759,14.651131,4.213362,1.053955,0.0
164648613,8703377,1909,51,4.905568,5.913197,0.524951,5.000822,11.43897,26.736974,15.085789,3.969952,1.112549,0.0
164649610,8704374,1298,49,5.178933,6.442194,0.386312,5.715985,12.544491,29.601015,15.605227,4.597494,0.734619,0.0
164650607,8705371,872,43,5.22202,0.945526,0.137161,5.303888,6.386575,20.599212,15.783405,4.294883,0.741089,0.0
164651617,8706381,898,42,5.29554,1.478006,0.153659,5.657195,7.28886,23.005969,16.04058,4.586575,1.33606,0.0
164652618,8707382,1242,40,5.309644,0.991443,0.167196,4.527903,5.686543,17.456357,16.091649,3.57805,1.113892,1.117188
164653614,8708378,1796,43,5.390066,2.137329,0.169434,5.256958,7.563721,22.135844,16.307298,4.236597,0.841309,0.929688
164654612,8709376,898,43,5.476974,2.297971,0.163026,5.367359,7.828356,22.539298,16.529201,4.318574,0.766479,1.023438
164655622,8710386,1250,41,5.496812,0.983168,0.163107,4.887277,6.033551,19.11966,16.621533,3.918371,0.739136,0.0
164656620,8711384,1497,42,5.512018,1.011224,0.148021,4.759532,5.918777,18.506826,16.689538,3.79264,0.80957,0.0
164657617,8712381,1497,41,5.556874,1.345831,0.179497,5.245171,6.770499,21.054741,16.84497,4.23022,0.826416,0.0
164658625,8713389,1097,45,5.652865,2.78664,0.202554,5.260827,8.250021,22.891361,17.060697,4.229694,0.788574,1.015625
164659620,8714384,799,41,5.678954,1.327091,0.154586,4.895891,6.377568,19.575452,17.151228,3.911215,0.731567,0.0
164700615,8715379,915,41,5.680795,0.981833,0.184331,4.564523,5.730686,17.901765,17.177899,3.623687,0.74707,0.0
164701623,8716387,1198,41,5.700357,1.115089,0.179421,4.937339,6.231849,19.682548,17.266814,3.962921,0.788086,1.054688
164702614,8717378,1197,42,5.720914,1.254221,0.154679,4.863053,6.271953,19.176737,17.335503,3.878611,0.845581,0.0
164703620,8718384,1193,41,5.739168,1.396172,0.158162,4.682339,6.236672,18.640457,17.381736,3.711208,0.841797,0.992188
164704635,8719399,880,41,5.743801,1.010531,0.141265,4.716056,5.867852,18.339276,17.416173,3.765572,0.77478,0.0
164705611,8720375,853,42,5.784206,1.598399,0.16729,5.092737,6.858427,20.65205,17.533589,4.086953,0.814697,1.234375
164706636,8721400,946,41,5.802019,1.088627,0.191798,5.015336,6.295761,19.890888,17.615674,4.026881,0.759888,0.0
164707615,8722379,1383,41,5.817819,1.326084,0.181317,4.726223,6.233625,18.898666,17.662594,3.77214,0.995117,1.234375
164708622,8723386,1046,41,5.840722,1.317623,0.147595,5.008315,6.473533,19.64054,17.731752,4.011924,1.255493,0.992188
164709634,8724398,807,41,5.845917,0.986977,0.137814,4.860227,5.985018,18.719204,17.7673,3.881364,0.844482,0.0
164710629,8725393,840,41,5.846135,0.977347,0.156991,4.71762,5.851957,18.247459,17.784637,3.761744,0.820557,1.148438
164711622,8726386,738,40,5.84727,0.969447,0.177646,4.730991,5.878084,18.277701,17.802176,3.765102,0.796143,0.0
