timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
162115863,7170627,799,40,4.561661,1.081521,0.008496,4.576974,5.666991,18.494014,14.322574,3.665544,1.02478,1.007812
162116863,7171627,1339,49,4.821655,6.767375,0.118118,5.158004,12.043497,27.649679,14.785215,4.124394,0.952271,0.0
162117876,7172640,1999,47,5.089107,6.314309,0.376799,5.596796,12.287904,29.117847,15.298631,4.498182,0.805664,0.0
162118853,7173617,1015,50,5.35652,6.233306,0.434483,5.820112,12.487902,30.157995,15.836221,4.696872,0.7771,0.0
162119877,7174641,1329,47,5.459493,2.399507,0.146147,5.765008,8.310662,23.74205,16.111513,4.687262,0.837036,0.953125
162120863,7175627,1350,46,5.536928,1.812953,0.142137,5.6197,7.57479,22.541325,16.34689,4.563451,0.78833,0.0
162121873,7176637,928,45,5.599917,1.632489,0.179519,5.511839,7.323848,22.154958,16.551625,4.463536,0.736084,0.0
162122867,7177631,1373,43,5.635939,1.287672,0.176627,5.136217,6.600516,20.30166,16.68676,4.117088,0.825195,0.0
162123880,7178644,1411,46,5.718138,2.277294,0.142723,5.533731,7.953748,22.834716,16.904573,4.486914,1.071899,0.0
162124862,7179626,1709,45,5.817197,2.78342,0.180758,5.489312,8.45349,23.453812,17.141749,4.449481,0.836548,0.0
162125874,7180638,1405,44,5.858275,1.676664,0.201317,5.110482,6.988463,20.719384,17.267222,4.116082,0.732056,0.0
162126870,7181634,817,43,5.88968,1.402846,0.213262,5.109377,6.725484,20.753338,17.393469,4.104148,0.730957,0.0
162127883,7182647,904,43,5.90544,0.972453,0.139553,5.221174,6.33318,20.361598,17.49905,4.211426,0.74707,0.0
162128881,7183645,1448,44,5.969098,2.211801,0.136364,5.318563,7.666727,21.987809,17.661126,4.284113,0.736084,0.0
162129879,7184643,1569,43,5.993989,1.511996,0.141702,5.013751,6.667449,19.97721,17.743678,4.023122,0.851196,0.0
162130874,7185638,1098,0,6.042213,1.794983,0.145996,5.403259,7.344238,21.798706,17.8885,4.367493,0.74707,0.0
162131882,7186646,699,43,6.065801,1.4089,0.152251,5.144865,6.706015,20.337589,17.975531,4.133845,0.776001,0.0
162132876,7187640,984,43,6.064304,0.947954,0.146981,4.92924,6.024176,19.138336,18.017392,3.943526,0.743652,0.0
162133883,7188647,998,46,6.131355,2.234231,0.171255,5.547568,7.953053,23.463105,18.210714,4.503645,0.8927,0.0
