timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
172803072,1840596,2406,67,12.785747,8.848989,0.181627,4.874674,14.337472,30.564808,30.564808,4.2127,0.814697,0.0
172804084,1841608,2037,60,12.56355,1.973176,0.041615,4.227702,6.39627,18.347491,18.347491,3.420266,0.828857,1.085938
172805096,1842620,1811,56,12.351986,2.325834,0.041723,6.825765,6.60704,18.169968,18.169968,3.3189,0.782959,0.0
172806092,1843616,1616,55,12.121622,1.383504,0.034921,5.065918,5.815342,17.782122,17.811941,3.455,0.916626,0.0
172807090,1844614,1703,55,11.954188,3.208475,0.035454,3.781256,7.312534,18.748211,18.718122,3.156871,0.859497,0.0
172808099,1845623,2408,56,11.868549,5.037791,0.036323,4.480279,9.568177,22.785723,22.762869,3.52351,1.102783,0.867188
172809099,1846623,1318,55,11.674807,1.807929,0.108452,6.009928,6.32085,18.059638,18.077537,3.441114,1.168823,0.0
172810101,1847625,2253,74,11.791529,9.064279,0.396542,6.851196,14.770198,31.453023,31.453023,4.216431,0.999512,0.0
172811078,1848602,2426,72,11.976676,10.109799,0.728398,5.893283,16.908967,36.592858,36.626631,4.818616,1.171143,0.0
172812107,1849631,2655,67,12.005828,6.783613,0.716146,5.212402,12.842242,29.815892,29.781221,4.199344,0.796143,1.085938
172813090,1850614,2566,68,12.083887,7.899057,0.710452,6.424967,14.091657,31.259194,31.259194,4.322593,1.10498,0.0
172814100,1851624,1397,59,11.952363,3.047659,0.314508,4.943848,8.353052,22.519678,22.519678,3.93944,0.773438,0.90625
172815100,1852624,1306,58,11.776555,2.046888,0.100947,5.712891,6.939587,19.784534,19.784534,3.791257,0.920776,0.0
172816101,1853625,1320,58,11.644768,3.206079,0.102014,4.991804,8.091491,21.424072,21.40269,3.767273,0.749878,0.0
172817100,1854624,1309,60,11.545875,3.755333,0.100838,5.996704,8.710385,22.174744,22.196941,3.837783,0.881226,0.0
172818102,1855626,1225,58,11.433578,3.567641,0.094096,5.582682,8.317095,21.445374,21.445374,3.673229,1.063232,0.0
172819088,1856612,1270,54,11.248257,1.557139,0.093286,4.79126,6.236295,18.422445,18.422445,3.598333,0.740723,0.0
172820100,1857624,1039,54,11.12926,3.00826,0.090138,5.078997,7.864106,20.767862,20.783152,3.756791,1.023804,0.0
172821104,1858628,950,53,10.970987,1.354577,0.0951,6.229946,6.716252,21.226906,21.212009,4.210521,0.726807,0.0
172822085,1859609,1967,52,10.843393,2.416499,0.097903,5.187988,7.378472,20.665872,20.665872,3.844122,0.813232,0.0
172823105,1860629,1447,53,10.673085,1.30202,0.096355,5.244954,5.959963,17.87907,17.860863,3.579858,0.750854,0.0
172824094,1861618,813,53,10.59602,3.56919,0.100996,4.984538,8.565753,22.18227,22.204039,3.868911,0.727051,0.0
172825109,1862633,1850,53,10.440218,1.53202,0.09901,5.989583,6.156718,17.988091,17.988091,3.567564,0.7854,0.0
172826087,1863611,1316,52,10.329902,2.449707,0.098267,4.947306,7.393921,20.657905,20.657905,3.825311,0.753174,0.945312
172827100,1864624,945,50,10.17896,1.316978,0.102676,5.17985,5.979861,17.955569,17.955569,3.585597,0.726318,0.0
172828096,1865620,1920,60,10.266961,6.2517,0.434218,6.201172,12.517467,29.919578,29.938317,4.629875,0.9729,0.0
172829115,1866639,1359,61,10.38674,7.506951,0.721596,5.944824,13.648419,31.175973,31.156915,4.256467,1.140015,0.0
172830106,1867630,2564,67,10.565454,8.971803,0.708142,5.875651,15.2667,33.431617,33.473107,4.405563,0.946411,0.0
172831102,1868626,2538,73,10.822731,11.040109,0.807465,6.311035,17.821453,37.594022,37.551403,4.737338,1.370483,0.0
172832114,1869638,2448,65,10.883903,6.24964,0.652927,6.066895,12.410337,29.025676,29.025676,4.341638,1.249023,0.0
172833092,1870616,2431,63,10.912782,5.825487,0.60643,5.574544,11.586201,27.52752,27.52752,4.050959,1.012573,0.9375
172834116,1871640,2278,69,11.154807,11.414904,0.628523,6.264823,17.895964,36.500208,36.500208,4.664883,0.875244,1.09375
172835103,1872627,1441,59,11.026126,2.125172,0.307412,5.097453,7.606529,21.484375,21.484375,4.087152,0.745483,0.0
172836103,1873627,1213,56,10.870732,1.405567,0.178584,5.907331,6.547402,19.643921,19.643921,3.93392,0.716309,0.0
172837110,1874634,1197,55,10.706253,1.35893,0.176915,5.671575,6.228433,18.536377,18.536377,3.691711,0.735718,0.0
172838110,1875634,1002,54,10.554203,1.392081,0.177886,5.419922,6.370314,18.941567,18.941567,3.790901,0.896973,0.914062
172839107,1876631,1251,54,10.437467,2.229735,0.174856,5.321103,7.275527,20.488098,20.488098,3.845398,0.753174,0.914062
172840109,1877633,1197,52,10.287741,1.310052,0.180187,6.617955,6.185289,18.444249,18.444249,3.712309,0.760376,0.914062
172841108,1878632,798,55,10.241977,3.465276,0.173953,5.936686,9.008282,24.083059,24.083059,4.288237,0.74939,0.914062
172842106,1879630,1306,53,10.112521,1.371711,0.168668,6.211926,6.582874,19.966316,19.966316,4.0047,0.765015,0.945312
172843119,1880643,1296,54,9.996619,1.508911,0.16968,6.355794,6.754971,20.367315,20.367315,4.053481,0.886841,0.0
172844102,1881626,898,54,9.93623,3.150917,0.176629,5.504608,8.325831,22.178153,22.178153,3.953034,0.721191,0.0
172845129,1882653,1418,52,9.807279,1.29071,0.174133,5.069987,6.222553,18.709542,18.709542,3.753133,0.760498,0.0
172846115,1883639,1197,52,9.684638,1.443575,0.166958,5.143229,6.447373,19.169794,19.169794,3.817607,0.749634,0.914062
172847109,1884633,914,53,9.614053,2.546128,0.168585,6.025042,7.656109,21.152458,21.152458,3.906436,0.734741,0.0
172848123,1885647,825,47,9.49629,1.372512,0.168143,5.171712,6.269805,18.548063,18.548063,3.726583,0.749634,0.914062
172849119,1886643,1035,51,9.381183,1.261393,0.167954,5.610875,6.268842,19.057535,19.057535,3.830453,0.913086,0.0
172850118,1887642,1092,52,9.348831,3.34096,0.168002,5.340576,8.466484,22.145088,22.145088,3.926248,0.731323,0.0
172851115,1888639,1367,51,9.253228,1.204232,0.164894,6.229655,6.615353,20.989856,20.968845,4.212099,0.741089,0.0
172852127,1889651,1684,49,9.151173,1.281179,0.168002,5.627441,6.321303,19.296161,19.315515,3.856112,0.770264,0.0
172853125,1890649,1245,59,9.133373,3.295165,0.164758,7.963562,8.359003,22.040446,22.040446,3.889697,1.303467,0.914062
172854120,1891644,1298,51,9.031645,1.385038,0.169432,5.410331,6.247318,19.101619,19.101619,3.71573,0.765381,0.914062
172855121,1892645,1070,51,8.933877,1.286586,0.161787,5.657668,6.25713,19.002095,19.031264,3.819661,0.732056,0.0
172856132,1893656,901,49,8.835446,1.264777,0.158444,4.734294,6.156371,18.713196,18.684143,3.74115,0.737061,0.0
172857118,1894642,1621,49,8.740515,1.322388,0.15923,5.126953,6.179305,18.549742,18.549742,3.71265,0.770386,0.0
172858135,1895659,913,49,8.695989,2.354348,0.150356,5.088298,7.430307,20.979735,20.979735,3.909038,0.926636,0.0
172859118,1896642,1522,52,8.680785,3.258231,0.148237,4.947917,8.284229,21.851425,21.851425,3.862482,0.77002,0.0
172900129,1897653,1187,50,8.603372,1.49183,0.148931,5.839284,6.446082,19.298111,19.298111,3.809673,0.737061,0.0
172901127,1898651,1558,55,8.597997,3.307124,0.149708,5.401611,8.433821,22.265577,22.265577,3.97648,0.775024,0.914062
172902127,1899651,1497,51,8.521374,1.489159,0.152712,6.355794,6.410986,19.208461,19.208461,3.791511,0.74707,0.914062
172903125,1900649,1097,48,8.43889,1.286695,0.169349,5.204264,6.186238,18.685355,18.685355,3.742859,0.757446,0.914062
172904141,1901665,1761,49,8.392486,2.098045,0.163733,5.581919,7.130372,20.452777,20.452777,3.859572,0.796021,0.914062
172905129,1902653,959,51,8.40039,3.582825,0.162292,5.196126,8.631688,22.442074,22.442074,3.891157,0.775024,0.914062
172906122,1903646,1297,49,8.325159,1.344593,0.155066,5.571638,6.231357,18.863385,18.863385,3.753817,0.752319,0.914062
172907143,1904667,1505,59,8.312396,2.65996,0.152213,5.779266,7.586707,20.799821,20.799821,3.795417,0.972046,0.0
172908126,1905650,1223,51,8.270646,2.243376,0.147613,4.928589,7.173633,20.655682,20.655682,3.788659,0.751343,0.914062
172909144,1906668,1188,49,8.219271,1.23623,0.141448,5.761719,6.786516,21.817215,21.817215,4.361776,0.755127,0.914062
172910131,1907655,1048,49,8.200208,2.537736,0.137831,5.216471,7.699679,21.78673,21.78673,4.00182,0.752808,0.914062
172911145,1908669,1424,52,8.231045,4.054442,0.138145,5.143229,9.105855,23.133252,23.133252,3.905261,0.75,0.0
172912126,1909650,1164,49,8.15871,1.382709,0.145066,5.208333,6.212192,18.609215,18.590863,3.706214,0.755859,0.914062
172913140,1910664,1177,50,8.116052,1.906355,0.143657,5.993652,6.810059,19.82673,19.846941,3.783807,1.012329,0.914062
