timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
174155612,2673136,2094,85,17.410801,9.163255,0.386106,6.27226,15.598414,32.914453,32.914453,4.820335,0.946899,1.085938
174156628,2674152,1824,82,17.415559,11.061021,0.328832,5.654329,17.563275,35.741571,35.741571,4.932412,0.880859,0.0
174157595,2675119,1817,83,17.429585,10.932747,0.227584,7.068634,17.753227,36.870941,36.870941,5.31084,0.867432,0.0
174158645,2676169,2216,83,17.447754,11.044858,0.281661,8.115881,17.939774,37.276179,37.367416,5.335811,0.984985,0.851562
174159576,2677100,1765,81,17.43724,11.043523,0.271733,5.823472,17.182872,34.727144,34.610244,4.676456,0.911499,1.070312
174200633,2678157,1978,87,17.491686,12.328835,0.282763,7.430465,18.972662,37.529483,37.569794,5.119567,0.916748,0.0
174201614,2679138,2396,85,17.475296,10.546697,0.220852,7.048543,17.02709,35.584535,35.584535,5.018829,0.936279,0.835938
174202615,2680139,2022,85,17.469114,11.053631,0.383622,6.134033,17.268332,34.818128,34.818128,4.64035,0.940552,0.0
174203615,2681139,2001,85,17.487554,11.691458,0.339849,5.346859,17.95545,35.737302,35.737302,4.692329,0.962769,0.984375
174204614,2682138,2507,88,17.485513,11.270104,0.34692,6.015354,17.430623,35.135437,35.135437,4.61977,0.908325,0.0
174205615,2683139,2505,83,17.471434,10.936865,0.357501,5.912272,17.100483,34.511012,34.511012,4.603865,0.892212,0.0
174206616,2684140,2301,87,17.461973,11.043649,0.329218,5.045972,17.225484,34.751199,34.751199,4.624554,0.959961,0.84375
174207616,2685140,1998,86,17.451625,11.086294,0.312937,5.823472,17.161683,34.536133,34.536133,4.564405,0.915649,0.0
174208609,2686133,2521,79,17.434851,10.963044,0.241409,6.119578,16.960881,34.190674,34.190674,4.563369,0.887939,0.0
174209615,2687139,2485,85,17.444009,11.163111,0.191995,7.15332,17.65024,36.360497,36.360497,5.054389,0.941406,0.0
174210650,2688174,2293,83,17.449186,10.954363,0.129461,6.999769,17.56322,36.415237,36.415237,5.216391,0.900879,0.0
174211599,2689123,2434,86,17.45457,11.243337,0.208482,5.544082,17.601096,36.085826,36.085826,4.897612,0.894897,1.109375
174212665,2690189,2553,82,17.429383,10.543398,0.238259,6.355286,16.694095,34.188104,34.188104,4.707224,0.888184,0.0
174213614,2691138,2465,83,17.443781,11.653118,0.227325,6.027222,17.80673,35.71364,35.71364,4.713748,0.896729,0.0
174214632,2692156,2453,83,17.453157,11.47003,0.250028,5.794949,17.746642,35.604849,35.604849,4.779804,0.871582,0.0
174215615,2693139,2385,82,17.429251,10.824015,0.235177,5.14736,16.83485,34.154806,34.154806,4.581058,0.895996,0.0
174216616,2694140,2639,85,17.42917,11.348495,0.242119,5.744485,17.414733,34.823726,34.823726,4.612656,0.916504,0.0
174217634,2695158,2231,83,17.427734,10.940676,0.249475,6.117877,17.396632,35.777821,35.777821,4.950067,0.89856,0.0
174218648,2696172,2333,83,17.419773,11.158946,0.246945,6.022135,17.223011,34.677861,34.677861,4.613201,0.88147,0.0
174219609,2697133,2520,82,17.41223,10.989929,0.282104,6.256104,17.190002,34.819745,34.819745,4.699767,0.890259,0.0
174220599,2698123,2363,88,17.436337,11.847429,0.355909,7.423401,18.061806,35.886256,35.886256,4.65683,0.829102,0.0
174221621,2699145,2184,86,17.474806,11.669872,0.6336,6.640625,18.471156,36.59886,36.59886,4.871592,0.904419,0.0
174222632,2700156,2419,88,17.468315,11.362419,0.174378,6.41276,17.245856,34.641785,34.641785,4.535414,0.900635,1.023438
174223623,2701147,2319,86,17.449425,10.952134,0.232926,5.566406,16.93652,34.07559,34.07559,4.566276,0.892334,0.0
174224633,2702157,2268,82,17.41343,10.59238,0.225274,6.099447,16.386471,33.015524,33.015524,4.414035,0.93103,0.0
174225576,2703100,2429,83,17.411501,11.426408,0.223386,6.233724,17.351177,34.751567,34.717159,4.528821,0.916504,0.0
174226605,2704129,1994,81,17.391584,10.800529,0.226073,6.478446,16.78204,33.932379,33.968362,4.578543,0.904785,0.0
174227581,2705105,1628,85,17.352484,10.440503,0.188583,6.144206,16.285492,33.148259,33.148259,4.495782,0.956299,0.0
174228607,2706131,2410,83,17.352855,11.371085,0.228136,6.013997,17.342876,34.706656,34.706656,4.56219,0.938599,0.0
174229586,2707110,2301,79,17.318812,10.515011,0.217094,5.970001,16.396482,33.307901,33.307901,4.498178,0.928345,0.0
174230601,2708125,2585,78,17.287921,10.60104,0.20662,6.343842,16.406985,33.42923,33.42923,4.445654,0.908813,0.0
174231595,2709119,2440,79,17.28798,11.32474,0.209071,5.928548,17.282236,34.563277,34.563277,4.567655,0.913208,0.867188
174232605,2710129,1991,81,17.266027,10.750729,0.1851,6.347656,16.603745,33.649836,33.649836,4.508795,0.905396,0.0
174233600,2711124,2308,88,17.319523,12.241226,0.480744,5.393219,18.686204,36.612219,36.612219,4.728504,0.894043,0.0
174234590,2712114,2403,81,17.324552,10.720887,0.622372,7.132975,17.438492,35.409715,35.409715,4.822636,0.959595,0.914062
174235602,2713126,2231,85,17.253713,9.05971,0.252726,6.244659,15.27339,32.480516,32.480516,4.727204,0.934082,0.0
174236597,2714121,2425,81,17.23947,10.404443,0.420696,6.624349,16.810502,34.796787,34.796787,4.754229,0.903687,0.0
174237606,2715130,2598,83,17.252274,11.342128,0.297694,6.168365,17.565095,35.525101,35.489398,4.704246,0.883301,0.0
174238603,2716127,2549,83,17.274823,11.557995,0.394088,6.905111,17.829204,35.623139,35.658444,4.659965,0.876221,1.070312
174239597,2717121,2467,85,17.284122,11.17802,0.376663,7.014974,17.478453,35.451008,35.451008,4.695295,0.884644,1.070312
174240610,2718134,2305,85,17.286532,11.058336,0.360288,5.882263,17.310169,35.201996,35.201996,4.670815,0.907715,0.0
174241591,2719115,2354,85,17.288251,11.002061,0.358803,6.145477,17.28905,35.029184,35.029184,4.695369,0.901367,0.0
174242605,2720129,2356,83,17.282483,10.885424,0.337336,6.351725,17.071331,34.578251,34.578251,4.642529,0.921997,0.0
174243602,2721126,2435,83,17.282065,10.871345,0.317578,6.774902,17.216374,35.029966,35.029966,4.800469,0.909668,0.0
174244600,2722124,2409,83,17.281338,10.928339,0.308408,6.551107,17.215954,34.977369,35.037057,4.755845,0.895874,0.0
174245600,2723124,2450,86,17.290959,11.222894,0.362113,6.225586,17.517338,35.258444,35.198816,4.712489,0.914673,1.046875
174246614,2724138,2548,83,17.284796,10.834547,0.371669,5.550385,17.123463,34.642029,34.679688,4.68811,0.903198,0.0
174247595,2725119,2410,85,17.296179,11.283309,0.345112,5.900065,17.57415,35.332366,35.295191,4.721639,0.910156,0.0
174248609,2726133,2441,87,17.318909,11.521744,0.334872,6.294759,17.892778,35.944859,35.944859,4.797513,0.903687,0.0
174249607,2727131,2437,85,17.335977,11.450965,0.306703,7.507579,17.733982,35.700083,35.700083,4.745528,0.90686,0.0
174250603,2728127,2400,88,17.338283,11.13817,0.346011,6.267548,17.35286,35.036014,35.036014,4.665092,0.918213,0.0
174251600,2729124,2413,83,17.331604,10.718918,0.344684,6.876628,17.088102,34.671703,34.671703,4.797755,0.882446,0.0
174252615,2730139,2376,83,17.332701,11.08478,0.319658,6.359863,17.332866,35.006815,35.065463,4.708094,0.88623,0.0
174253595,2731119,2528,86,17.330853,10.919978,0.362056,6.317139,17.232137,34.854204,34.79654,4.727789,0.892334,0.0
174254609,2732133,2484,83,17.325314,10.821818,0.395811,6.921387,17.13045,34.602018,34.602018,4.709049,0.90332,0.0
174255608,2733132,2302,85,17.32774,11.016204,0.352098,6.612142,17.32201,35.033698,35.033698,4.730044,0.926025,0.96875
174256604,2734128,2436,85,17.323345,10.792244,0.380849,6.644694,17.124269,34.926956,34.926956,4.729492,0.913452,0.0
174257600,2735124,2452,86,17.323498,11.049479,0.342071,6.774902,17.250738,34.880305,34.880305,4.658628,0.912354,1.070312
