timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
180023662,13118426,1865,67,12.93639,5.357828,0.613455,5.810024,11.781306,28.730702,30.021797,4.633986,0.890747,0.0
180024659,13119423,1588,67,12.866374,4.638611,0.623724,5.703751,10.966085,27.00318,29.914528,4.511572,0.875,0.0
180025657,13120421,1978,68,12.872024,6.312823,0.57613,6.136084,13.025037,31.083546,29.956153,4.923094,0.819092,0.0
180026672,13121436,1728,64,12.758308,3.569304,0.468364,5.647127,9.684795,25.199882,29.786456,4.493996,0.769897,0.0
180027661,13122425,1497,69,12.79508,7.230981,0.676684,5.866056,13.773721,31.461877,29.84713,4.70061,1.062012,0.0
180028661,13123425,1416,68,12.828775,6.550325,0.678175,6.520517,13.749018,32.47311,29.939884,5.22909,0.851318,0.0
180029668,13124432,1744,68,12.803939,5.484497,0.581482,6.067383,12.133362,29.57312,29.926785,4.836365,0.97998,0.929688
180030672,13125436,2064,74,12.783574,6.353663,0.339152,5.54431,12.237124,28.777166,29.885481,4.440171,0.816772,1.085938
180031660,13126424,3738,97,12.812947,7.700562,0.265254,5.635317,13.601132,30.469999,29.906503,4.53456,1.175049,0.0
180032679,13127443,1816,65,12.762172,5.135487,0.388906,5.84812,11.372513,27.817732,29.832948,4.683551,0.877319,0.0
180033665,13128429,3966,65,12.66743,3.878458,0.369385,5.911006,10.15885,26.478357,29.710865,4.753681,0.765503,0.0
180034665,13129429,1562,67,12.57253,4.201645,0.391034,5.379822,9.972501,25.260446,29.554147,4.281632,1.154663,0.0
180035658,13130422,1306,63,12.499215,3.930335,0.59773,5.993701,10.521766,27.096073,29.46627,4.787266,1.079346,0.0
180036670,13131434,1415,60,12.373352,2.929503,0.324311,5.69282,8.946634,24.712539,29.297683,4.556124,0.914185,1.085938
180037670,13132434,1629,60,12.21663,2.516299,0.202687,5.32247,8.041457,22.628603,29.056643,4.236912,0.876099,0.0
180038679,13133443,1940,59,12.097278,2.99939,0.18158,5.693787,8.874756,24.656374,28.899334,4.572998,0.716187,0.0
180039667,13134431,1336,63,12.064196,5.452111,0.278473,5.447751,11.178335,27.253197,28.840131,4.359498,1.105713,0.9375
180040667,13135431,1517,63,12.024034,4.938344,0.393358,5.593158,10.92486,27.1847,28.781777,4.477519,1.005981,0.0
180041660,13136424,1917,61,11.973386,4.611322,0.469094,5.528311,10.608726,26.371751,28.695447,4.385708,0.77002,0.0
180042680,13137444,1493,0,11.887119,3.95041,0.239583,5.345965,9.535958,24.68459,28.553634,4.264754,0.81604,1.085938
180043664,13138428,1837,63,11.817513,4.049084,0.416535,5.510757,9.976376,25.816614,28.453929,4.407995,0.933838,0.0
180044673,13139437,2316,65,11.999243,10.097225,0.589572,6.30188,16.988677,35.849346,28.713825,5.088,0.809692,1.078125
180045672,13140436,1768,65,11.995839,5.757307,0.48677,5.660799,11.904877,28.299766,28.698889,4.511465,1.130859,0.0
180046675,13141439,2911,68,12.111446,9.117233,0.302057,5.820051,15.239341,32.559904,28.836645,4.67649,0.971436,1.039062
180047678,13142442,2379,67,12.288677,10.84728,0.3583,5.853472,17.059052,35.350309,29.069973,4.711878,1.023682,1.085938
180048662,13143426,1510,72,12.384672,8.794899,0.298914,5.87202,14.965832,32.692024,29.19972,4.733237,1.005005,0.0
180049675,13144439,1856,70,12.447979,7.50292,0.575306,6.107858,14.186084,32.026586,29.299065,4.893853,0.833374,1.085938
180050709,13145473,1750,67,12.500308,6.799726,0.690788,6.403871,13.894385,32.373517,29.410294,5.134967,0.876953,1.078125
180051691,13146455,954,61,12.337848,2.341493,0.229251,5.526016,8.09676,23.078911,29.176711,4.432132,1.015991,0.0
180052714,13147478,1946,60,12.215998,3.202113,0.199109,5.469345,8.870567,23.902769,28.99137,4.367832,0.786621,0.0
180053644,13148408,1721,59,12.069487,2.481261,0.245394,5.479263,8.205917,23.398361,28.787025,4.37705,0.820923,0.0
180054694,13149458,2106,64,12.091625,6.197562,0.362273,6.176167,12.736003,30.785148,28.853391,4.985982,0.778809,0.0
180055664,13150428,1461,60,12.029958,3.984782,0.343831,6.118571,10.447184,27.571398,28.805271,4.949074,0.892944,0.0
180056689,13151453,1278,59,11.900344,2.853583,0.273208,5.154003,8.280793,22.561444,28.589413,4.093643,0.895996,0.0
180057673,13152437,1028,58,11.735472,1.967759,0.202975,5.230166,7.400899,21.669505,28.336095,4.169505,1.051636,0.0
180058690,13153454,2063,64,11.774786,6.178941,0.576981,6.098243,12.854165,31.149143,28.434953,4.886658,0.956421,0.9375
180059705,13154469,1539,63,11.812877,6.180619,0.443614,6.198246,12.822479,30.87726,28.523836,5.000331,0.924561,0.0
180100672,13155436,2287,69,11.860176,7.332397,0.251778,5.533513,13.117688,29.727251,28.567417,4.439977,1.158325,0.0
180101681,13156445,1598,64,11.85944,5.447088,0.493646,5.898129,11.838864,29.24657,28.590872,4.717191,0.957886,0.0
180102692,13157456,807,59,11.736562,3.228748,0.191159,5.026257,8.446164,22.634546,28.376231,3.99136,0.897705,0.0
180103687,13158451,1076,57,11.566533,1.614141,0.206107,5.207307,7.027555,21.369375,28.123484,4.161812,0.885986,0.0
180104681,13159445,1588,58,11.496916,3.16911,0.523517,5.916795,9.609422,26.287584,28.058178,4.737517,0.921631,0.0
180105704,13160468,951,57,11.357273,2.216278,0.287394,5.051705,7.555377,21.270075,27.817686,3.981252,1.087036,0.984375
