Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,14:52:46:200,1860964,1574,49,9.778099,0.915170,0.005662,3.715634,4.636467,14.092326,23.833552,2.844728,1.336304,0.000000
16/08/2022,14:52:47:186,1861950,1098,49,9.638769,1.503495,0.009541,4.356002,5.869038,17.920056,23.622778,3.427326,1.090088,0.000000
16/08/2022,14:52:48:200,1862964,1201,52,9.555606,2.445902,0.256951,4.586198,7.289051,20.032219,23.495698,3.588633,1.057251,0.000000
16/08/2022,14:52:49:218,1863982,2280,60,9.764828,8.870220,0.352998,6.149883,15.373101,34.652877,23.896958,4.926210,0.813599,1.093750
16/08/2022,14:52:50:196,1864960,2001,60,9.850720,5.548683,0.781886,5.796721,12.127290,29.913642,24.115707,4.623743,0.815552,1.125000
16/08/2022,14:52:51:196,1865960,1397,58,9.981163,7.482761,0.404116,5.694599,13.581476,30.480795,24.338258,4.535617,1.156738,0.000000
16/08/2022,14:52:52:238,1867002,599,52,9.809776,1.149506,0.014436,4.027945,5.191887,15.604858,24.025415,3.112184,0.886841,0.000000
16/08/2022,14:52:53:194,1867958,2007,62,9.865217,5.384644,0.574625,5.347479,11.306748,26.543760,24.118684,4.240266,1.049194,0.937500
16/08/2022,14:52:54:283,1869047,2596,61,10.016160,8.280500,0.345802,5.655223,14.281525,31.336573,24.365123,4.548907,0.987671,0.000000
16/08/2022,14:52:55:201,1869965,1803,79,10.375528,13.269771,0.114567,5.863295,19.247633,37.844653,24.889862,4.718522,0.896973,1.085938
16/08/2022,14:52:56:223,1870987,2995,99,10.801200,16.655617,0.078920,6.624442,23.358979,43.250722,25.491836,5.350084,0.949707,0.000000
16/08/2022,14:52:57:181,1871945,3494,99,11.039306,10.905047,0.001194,6.418426,17.324668,35.859110,25.870242,5.184942,1.003540,0.000000
16/08/2022,14:52:58:221,1872985,3088,97,11.222005,10.336371,0.001194,6.047154,16.384719,33.418183,26.128219,4.853539,1.028931,0.000000
