timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
173437411,2234935,2254,78,18.16873,11.79,0.032624,7.051268,18.354089,37.310017,37.310017,5.31841,0.904419,0.0
173438404,2235928,2342,81,18.1683,11.642254,0.036137,6.933315,18.191892,37.623928,37.623928,5.2854,0.869141,0.0
173439395,2236919,1455,82,18.083896,9.371427,0.036609,6.288159,15.74326,33.76707,33.76707,5.138184,0.890137,0.0
173440425,2237949,2284,81,17.994761,9.162335,0.03821,6.324705,15.542527,33.621634,33.621634,5.140723,0.958618,0.0
173441378,2238902,2541,76,17.928349,9.952222,0.033527,6.73222,16.173052,35.19613,35.19613,5.009428,0.933594,0.0
173442412,2239936,2025,88,17.919689,11.431826,0.037485,6.859488,17.597031,36.222988,36.222988,4.960891,0.850586,0.0
173443395,2240919,2120,81,17.834159,9.260496,0.032316,6.81888,15.567382,33.995697,33.995697,5.08756,0.917725,0.0
173444477,2242001,1958,81,17.767627,9.9392,0.037113,6.402096,15.880691,33.561264,33.561264,4.769444,0.93103,0.0
173445379,2242903,1953,88,17.912046,15.047029,0.040404,6.787396,21.54329,41.954471,41.954471,5.249532,0.920288,0.0
173446495,2244019,2129,85,17.971529,13.22316,0.037639,7.156372,19.669697,39.078943,39.078943,5.219959,1.001709,0.898438
173447395,2244919,2099,81,18.012813,12.484932,0.037475,7.067871,18.949115,38.310735,38.310735,5.227986,0.946289,0.851562
173448464,2245988,2245,82,18.075953,13.490841,0.041772,6.669108,20.000061,39.773264,39.773264,5.269822,0.980713,0.0
173449407,2246931,1989,83,18.138342,13.180177,0.036019,7.163078,19.643534,39.04126,39.04126,5.22686,1.06897,0.0
173450494,2248018,2042,84,18.164847,12.451568,0.040492,7.402207,18.858872,38.119235,38.119235,5.172746,0.850342,0.0
173451395,2248919,2397,87,18.205049,12.793368,0.037077,7.05063,19.220712,38.638791,38.638791,5.190911,0.960693,0.0
173452495,2250019,2450,87,18.228627,11.945077,0.40094,7.041931,18.932498,38.390164,38.347555,5.319282,0.891724,0.0
173453445,2250969,2345,86,18.255468,12.331354,0.027477,6.80846,18.921912,38.015312,38.049871,5.302956,0.887573,0.0
173454377,2251901,1963,82,18.222684,10.749637,0.02431,6.747202,17.249685,35.740039,35.740039,5.238701,0.941528,0.0
173455496,2253020,2157,76,18.099131,8.23427,0.028915,5.884315,14.495516,32.091212,32.091212,5.026255,0.94165,0.0
173456374,2253898,2493,83,18.116454,11.615012,0.330653,6.724638,18.56582,38.168046,38.168046,5.330731,0.911011,0.0
173457514,2255038,2066,81,18.08859,10.567943,0.031616,6.255005,17.256716,36.103685,36.103685,5.36595,0.936646,0.0
173458325,2255849,2148,78,18.114588,12.143605,0.028099,6.505875,18.769262,37.97768,37.97768,5.324542,0.912231,0.0
173459433,2256957,2413,76,18.016615,8.303937,0.032634,6.305385,14.73087,32.383886,32.344053,5.139957,0.978149,0.0
173500380,2257904,2275,81,17.873069,8.130186,0.027264,6.326932,14.353247,32.180359,32.209455,4.978959,0.987915,0.0
173501429,2258953,1915,73,17.757297,7.995473,0.032676,7.064356,14.125156,32.525164,32.525164,4.911669,1.048096,0.0
173502409,2259933,1857,76,17.649173,8.695617,0.030163,6.382598,14.832962,33.427734,33.427734,4.916449,0.993042,0.0
173503445,2260969,2185,82,17.591171,10.043477,0.037317,6.281856,15.958258,33.561239,33.602905,4.727547,0.989502,0.0
173504395,2261919,2334,82,17.542001,9.836773,0.253296,5.232239,16.272092,34.378597,34.339146,4.972598,1.033325,0.0
173505445,2262969,2156,73,17.406617,8.058403,0.028396,6.01027,13.375969,28.815846,28.948057,4.222015,1.06543,0.0
173506412,2263936,2306,80,17.335034,9.681842,0.036869,5.38763,15.478232,32.686741,32.566881,4.628257,1.043457,0.0
173507414,2264938,2016,75,17.238536,8.93995,0.043321,6.649004,14.480029,30.641163,30.641163,4.417609,0.999146,0.921875
173508415,2265939,1813,80,17.156013,9.214759,0.034204,5.935797,14.885886,31.554323,31.59745,4.528248,1.022461,0.0
173509424,2266948,2133,71,17.041976,8.473353,0.025282,5.4984,13.940925,29.908507,29.865337,4.354532,0.978271,0.0
173510422,2267946,2764,79,16.952843,8.863374,0.027905,6.298389,14.492192,31.00102,31.00102,4.509793,1.023315,0.0
173511395,2268919,2389,80,16.892123,9.651481,0.055793,5.52615,15.206865,31.831608,31.869892,4.394348,0.99585,0.0
173512428,2269952,1605,72,16.786558,8.4526,0.036544,6.095694,13.76112,29.356469,29.317241,4.221388,1.009033,0.976562
173513457,2270981,1367,79,16.735342,9.866069,0.043957,5.882936,15.340991,31.800498,31.800498,4.343728,0.989258,0.0
173514427,2271951,1953,79,16.659057,8.891009,0.029704,5.889893,14.589208,31.371833,31.371833,4.566248,1.005127,0.0
173515417,2272941,1797,81,16.57546,8.894307,0.035636,6.581293,14.184404,30.024137,30.024137,4.210546,1.018921,0.0
173516445,2273969,2381,80,16.536049,9.453549,0.433895,5.055454,15.435245,32.117562,32.117562,4.412181,1.018311,0.0
173517387,2274911,1298,71,16.418317,7.990655,0.034774,5.111253,13.303491,28.769823,28.769823,4.204829,0.927979,0.0
173518419,2275943,1580,71,16.329261,8.628738,0.046352,5.573242,13.948871,29.841397,29.841397,4.213151,1.102539,0.867188
173519428,2276952,1523,78,16.263984,9.137565,0.049108,5.699641,14.468679,30.165975,30.218908,4.223166,0.976685,1.078125
173520419,2277943,1202,76,16.178351,8.371887,0.051702,6.457262,13.701165,29.518755,29.464616,4.217965,1.064575,0.0
173521425,2278949,2073,76,16.090152,8.377622,0.035359,5.458984,13.617524,29.409337,29.409337,4.151974,1.060547,0.0
173522425,2279949,1762,79,16.038387,9.201128,0.034593,5.391941,14.541751,30.647657,30.647657,4.23937,1.026611,0.0
173523427,2280951,2378,73,15.996278,9.509463,0.033027,5.700209,14.836996,30.975403,30.975403,4.227844,0.940308,0.0
173524444,2281968,1487,79,16.021046,11.150925,0.02897,5.562528,16.674545,33.550434,33.550434,4.410155,1.008789,0.0
173525455,2282979,2682,73,15.96635,9.069763,0.043335,5.406745,14.489441,30.467635,30.467635,4.300488,0.991333,0.0
173526401,2283925,2321,75,15.929525,9.632061,0.033683,5.146167,14.950048,30.92466,30.92466,4.205377,0.984985,0.0
173527429,2284953,2127,78,15.880502,9.187069,0.038024,5.59715,14.338476,29.854523,29.854523,4.079534,1.048218,0.851562
173528448,2285972,2705,75,15.848775,9.535447,0.057864,5.628578,14.879774,31.068201,31.068201,4.219332,0.98877,0.0
173529404,2286928,1754,71,15.784597,8.711564,0.04317,6.233724,14.107597,30.25469,30.25469,4.276962,1.071655,1.09375
173530439,2287963,1824,80,15.768917,9.934725,0.048571,6.295873,15.269518,31.268342,31.268342,4.248123,1.04541,0.0
173531434,2288958,1867,78,15.707372,8.809731,0.045398,5.371473,14.034389,29.745002,29.745002,4.118948,1.009277,0.0
173532430,2289954,1871,73,15.689663,9.319925,0.058354,5.599964,15.176245,32.527506,32.527506,4.659078,1.010498,0.0
173533419,2290943,1818,75,15.644999,9.09268,0.046758,5.706787,14.370319,30.148303,30.164162,4.172797,0.995972,0.0
173534491,2292015,2472,78,15.612832,9.236277,0.063798,5.734542,14.664199,30.900003,30.884776,4.286422,1.059326,0.0
173535445,2292969,2836,72,15.535384,8.061442,0.036216,5.49891,13.454058,29.418775,29.477874,4.288475,1.251099,0.0
173536512,2294036,3130,77,15.588628,11.311069,0.030485,5.808545,16.891203,34.363497,34.261174,4.456077,1.096558,0.0
173537408,2294932,1863,77,15.701849,12.013511,0.315416,7.03496,18.415918,37.183452,37.218334,4.925531,1.045776,0.0
173538510,2296034,1788,75,15.72872,10.773466,0.035708,5.618075,16.374168,33.6083,33.6083,4.483815,1.156494,0.0
173539394,2296918,3790,75,15.73076,10.131329,0.02429,5.509564,15.659209,32.196765,32.196765,4.423136,1.192871,0.0
173540454,2297978,1521,73,15.70344,9.49435,0.031716,5.651855,14.979832,31.507604,31.549721,4.3822,1.166016,0.0
173541425,2298949,1694,77,15.676149,9.368984,0.037088,5.976201,14.797141,31.045475,31.010351,4.323209,1.023071,0.0
173542425,2299949,3483,70,15.630365,9.084903,0.035539,5.379151,14.448979,30.617774,30.617774,4.273032,1.229614,0.0
173543447,2300971,3235,73,15.584437,9.054374,0.030394,5.117776,14.446805,30.423523,30.423523,4.282104,1.243286,0.0
173544425,2301949,3946,73,15.585872,10.207464,0.031789,5.869548,15.67447,32.09649,32.09649,4.365027,1.219482,0.0
