Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,11:15:46:145,2073768,1022,39,4.071664,1.839280,0.016254,4.045860,5.901394,4.982946,16.777640,3.119163,0.750122,0.000000
18/08/2022,11:15:47:088,2074711,1478,45,4.176506,2.422269,0.003680,4.368883,6.794832,5.052703,18.932992,3.440169,0.738770,0.000000
18/08/2022,11:15:48:125,2075748,1317,42,4.219382,1.426608,0.027450,3.992862,5.446919,5.066008,16.490924,3.170919,0.738647,0.000000
18/08/2022,11:15:49:107,2076730,599,40,4.234824,0.882861,0.000353,3.753103,4.636318,5.050094,14.645259,2.892019,1.075806,0.000000
18/08/2022,11:15:50:105,2077728,1158,42,4.351537,3.494450,0.011211,4.063820,7.569480,5.138273,19.132251,3.169535,0.750000,0.000000
18/08/2022,11:15:51:101,2078724,699,41,4.377328,1.049756,0.003360,4.021294,5.074410,5.235961,16.044421,3.144153,0.733276,0.000000
18/08/2022,11:15:52:120,2079743,599,40,4.365376,0.658702,0.000980,3.381643,4.041325,5.258136,12.836897,2.575185,0.732910,0.000000
18/08/2022,11:15:53:098,2080721,2089,60,4.914722,13.344892,0.322958,5.837001,19.504852,5.774580,39.942828,4.744134,0.970581,0.000000
18/08/2022,11:15:54:133,2081756,2698,57,5.319768,10.946387,0.009798,5.554948,16.511133,6.149592,34.482724,4.506974,1.032349,0.000000
18/08/2022,11:15:55:134,2082757,2916,72,5.763756,11.989723,0.015804,5.325509,17.331036,6.562906,34.640134,4.292629,1.123901,0.000000
18/08/2022,11:15:56:100,2083723,2724,64,6.186150,11.768993,0.010731,5.799254,17.578979,6.956731,35.831288,4.706766,1.023560,0.000000
18/08/2022,11:15:57:146,2084769,2672,58,6.510850,9.840687,0.004423,5.762370,15.607480,7.255182,33.959731,4.645134,1.033203,0.000000
18/08/2022,11:15:58:103,2085726,3229,61,6.858723,10.248071,0.002801,5.572069,15.822941,7.575249,33.555728,4.493322,1.036865,0.000000
18/08/2022,11:15:59:138,2086761,2671,75,7.285267,13.284426,0.002742,6.038399,19.325567,7.976858,38.468163,4.893360,1.022461,0.000000
18/08/2022,11:16:00:105,2087728,2364,78,7.615843,10.600067,0.001238,5.627088,16.228393,8.281870,34.646668,4.559730,0.995972,0.000000
18/08/2022,11:16:01:099,2088722,2231,67,7.937315,11.137496,0.000063,5.786663,16.924222,8.580340,35.344835,4.663363,1.032959,0.000000
18/08/2022,11:16:02:139,2089762,3278,64,8.290201,11.995066,0.005465,5.877243,17.877774,8.910399,36.794672,4.771499,1.054199,0.000000
18/08/2022,11:16:03:101,2090724,2893,67,8.637570,11.750031,0.001291,5.891125,17.642447,9.234732,37.190039,4.785888,1.033447,0.000000
18/08/2022,11:16:04:122,2091745,2250,78,8.966074,12.342171,0.001776,5.855061,18.199009,9.542719,37.507783,4.716566,1.077393,0.000000
18/08/2022,11:16:05:103,2092726,2286,66,9.279895,11.716658,0.000418,5.855250,17.572326,9.835513,36.667082,4.724786,1.068970,0.000000
18/08/2022,11:16:06:105,2093728,2279,76,9.554800,11.581234,0.001246,5.551833,17.134312,10.091231,35.263756,4.485189,1.030029,0.000000
18/08/2022,11:16:07:124,2094747,2199,78,9.843116,11.751887,0.002802,5.856850,17.611539,11.383539,36.514590,4.722103,1.002319,0.000000
18/08/2022,11:16:08:119,2095742,2099,79,10.147828,12.387085,0.002932,5.817746,18.207763,11.631892,37.360397,4.714966,1.244873,0.000000
18/08/2022,11:16:09:102,2096725,2021,69,10.401680,11.431057,0.002270,5.858087,17.291413,11.833209,35.668425,4.687548,1.127197,0.000000
18/08/2022,11:16:10:127,2097750,1895,78,10.667753,12.517485,0.000807,5.462280,17.980572,12.048806,35.621942,4.396167,1.101196,0.000000
18/08/2022,11:16:11:120,2098743,2047,74,10.866798,10.458448,0.001608,5.645008,16.105064,12.197294,34.386158,4.570723,0.998291,0.000000
18/08/2022,11:16:12:113,2099736,651,63,11.019450,9.035652,0.004530,6.113739,15.153921,12.302571,33.080501,4.933030,0.712646,0.000000
18/08/2022,11:16:13:130,2100753,2498,55,10.868071,1.566179,0.002461,5.178021,6.746661,12.105733,23.134724,4.263407,0.711792,0.000000
18/08/2022,11:16:14:092,2101715,698,52,10.677769,0.679369,0.001920,4.947389,5.628678,11.870477,22.067054,4.085941,0.719971,0.000000
18/08/2022,11:16:15:128,2102751,799,51,10.498697,0.617711,0.002728,4.845252,5.465692,11.756102,22.222444,4.011444,0.760986,0.000000
18/08/2022,11:16:16:135,2103758,699,49,10.290684,0.627201,0.003476,4.246061,4.876738,11.501565,17.263709,3.363996,0.723633,0.000000
18/08/2022,11:16:17:110,2104733,973,49,10.125230,1.014020,0.003152,4.672991,5.690163,11.274727,19.380433,3.750271,0.729492,0.000000
18/08/2022,11:16:18:159,2105782,716,48,9.955735,1.152031,0.001315,4.104326,5.257671,11.065205,16.160852,3.214158,0.739990,0.000000
18/08/2022,11:16:19:110,2106733,599,48,9.810267,1.129354,0.003607,4.939949,6.072911,10.878172,19.668361,3.903927,0.719238,0.000000
18/08/2022,11:16:20:124,2107747,1766,48,9.695127,1.281674,0.166126,4.965265,6.413065,10.726837,21.014761,4.006213,0.724243,0.000000
18/08/2022,11:16:21:132,2108755,1265,51,9.553294,1.128368,0.179674,4.470615,5.778657,10.547642,19.453547,3.624591,1.078247,0.000000
18/08/2022,11:16:22:104,2109727,1269,72,9.580480,5.452716,0.112079,4.743667,10.308462,10.539032,25.266338,3.767888,0.996704,0.000000
18/08/2022,11:16:23:141,2110764,2087,81,9.929095,13.857055,0.002389,5.773762,19.633206,10.854729,39.470458,4.663987,0.989014,0.000000
18/08/2022,11:16:24:126,2111749,1451,69,10.276956,13.429088,0.003002,5.889602,19.321692,11.168007,39.159497,4.756799,1.081787,0.000000
18/08/2022,11:16:25:124,2112747,2059,70,10.568763,12.581731,0.002850,5.987394,18.571976,11.428468,38.137420,4.858498,1.063232,0.000000
18/08/2022,11:16:26:121,2113744,3593,70,10.772313,10.320874,0.000979,5.957716,16.279568,11.601375,34.851556,4.826899,1.092529,0.000000
18/08/2022,11:16:27:129,2114752,3349,76,11.004222,11.325752,0.001714,5.957849,17.285315,12.741153,36.329143,4.812215,1.017822,0.000000
18/08/2022,11:16:28:124,2115747,1111,66,11.185800,10.113289,0.001998,5.932777,16.048064,12.860083,33.710400,4.824378,1.208130,0.000000
18/08/2022,11:16:29:101,2116724,1858,66,11.382428,10.689863,0.004233,6.024937,16.719032,12.997214,35.126585,4.904437,1.291870,0.000000
18/08/2022,11:16:30:141,2117764,1462,80,11.615365,12.106014,0.003436,5.948772,18.058222,13.173807,36.926584,4.806345,1.030884,0.000000
18/08/2022,11:16:31:099,2118722,2515,69,11.810184,10.928051,0.001056,5.931385,16.860492,13.310741,34.964756,4.786198,1.055298,0.000000
18/08/2022,11:16:32:135,2119758,1803,64,11.886125,8.065942,0.002548,5.961249,14.029740,13.335341,31.233203,4.822290,0.818848,0.000000
18/08/2022,11:16:33:129,2120752,1750,61,11.812128,4.101492,0.005243,5.779487,9.886222,13.207724,26.304902,4.654094,0.960571,0.000000
18/08/2022,11:16:34:126,2121749,699,55,11.665011,2.379698,0.002265,5.298488,7.680451,13.010913,23.327575,4.304911,0.719971,0.000000
18/08/2022,11:16:35:130,2122753,708,52,11.447843,0.637288,0.001714,4.927012,5.566014,12.745822,21.862891,4.045873,0.716797,0.000000
18/08/2022,11:16:36:125,2123748,699,50,11.238899,0.731814,0.001459,4.887433,5.620706,12.490335,21.908885,4.050592,0.718506,0.000000
18/08/2022,11:16:37:158,2124781,699,49,11.033992,0.630042,0.001534,4.841100,5.472676,12.352162,21.980553,4.006220,0.722900,0.000000
18/08/2022,11:16:38:116,2125739,699,49,10.837838,0.778981,0.001654,4.936502,5.717137,12.171171,21.221013,4.066822,0.717285,0.000000
18/08/2022,11:16:39:143,2126766,699,48,10.657160,0.652656,0.002548,4.901865,5.557069,12.038748,20.792069,4.005871,0.720337,0.000000
18/08/2022,11:16:40:123,2127746,699,48,10.469132,0.618680,0.001785,4.905331,5.525796,11.756406,20.763245,4.038364,0.722900,0.000000
18/08/2022,11:16:41:125,2128748,798,47,10.244268,0.702060,0.002240,3.346691,4.050991,11.486716,12.575420,2.552900,0.724731,0.000000
18/08/2022,11:16:42:143,2129766,599,48,10.041294,0.610291,0.002193,3.959854,4.572337,11.239280,15.666016,3.080872,0.723999,0.000000
18/08/2022,11:16:43:120,2130743,699,46,9.870514,0.635173,0.002578,4.706242,5.343994,11.001286,19.890772,3.847843,0.729736,0.000000
18/08/2022,11:16:44:134,2131757,951,75,10.031059,10.165299,0.002569,4.317914,14.485782,11.122373,29.876894,3.403884,1.008667,0.000000
18/08/2022,11:16:45:127,2132750,1676,63,10.326473,13.186426,0.001868,5.008197,18.196490,11.378304,34.345110,4.015028,1.077637,0.000000
18/08/2022,11:16:46:126,2133749,3471,81,10.616155,13.387454,0.001596,5.097479,18.486530,11.630646,35.317739,4.046728,1.162720,0.000000
18/08/2022,11:16:47:148,2134771,1506,80,10.888328,12.730076,0.002872,5.511676,18.244624,11.866623,35.916894,4.440804,1.096191,0.000000
18/08/2022,11:16:48:113,2135736,1501,66,11.099918,11.354210,0.002327,5.323125,16.679661,11.733983,31.982954,4.294086,0.714966,0.000000
18/08/2022,11:16:49:155,2136778,699,54,10.886576,0.674921,0.001957,4.245614,4.922492,11.585905,16.830396,3.344701,0.722900,0.000000
18/08/2022,11:16:50:122,2137745,721,52,10.655051,0.638526,0.002694,4.023953,4.665173,11.328602,15.968330,3.185298,0.718872,0.000000
18/08/2022,11:16:51:147,2138770,599,51,10.419738,0.598801,0.004292,3.238335,3.841428,11.069760,12.077561,2.460507,0.723877,0.000000
18/08/2022,11:16:52:127,2139750,599,48,10.178609,0.634647,0.003037,3.195134,3.832817,10.804836,11.857299,2.410413,0.732300,0.000000
18/08/2022,11:16:53:142,2140765,699,48,9.964024,0.751480,0.000374,3.295731,4.047585,10.568573,13.793945,2.574201,1.171753,0.000000
18/08/2022,11:16:54:155,2141778,1521,59,10.229615,12.233267,0.004523,5.074603,17.312393,10.812314,33.010376,4.021301,1.008423,0.000000
18/08/2022,11:16:55:134,2142757,699,55,10.364118,9.562535,0.001500,4.368725,13.932760,10.925653,26.388621,3.383948,0.715698,0.000000
18/08/2022,11:16:56:145,2143768,779,51,10.141721,0.670950,0.000811,3.325168,3.996929,10.652482,12.465544,2.526944,0.723633,0.000000
18/08/2022,11:16:57:159,2144782,698,48,9.908053,0.619709,0.001630,3.048868,3.670207,10.457379,11.138735,2.277095,0.724243,0.000000
18/08/2022,11:16:58:146,2145769,699,47,9.696157,0.653510,0.003010,3.400361,4.056880,10.225818,12.934939,2.600856,0.728516,0.000000
18/08/2022,11:16:59:148,2146771,799,47,9.491666,0.638117,0.001051,3.255827,3.894995,10.220348,12.235106,2.475754,0.723755,0.000000
18/08/2022,11:17:00:150,2147773,2076,63,9.635600,8.890238,0.001650,4.633943,13.525831,10.338165,29.331744,3.709987,1.080688,0.000000
18/08/2022,11:17:01:141,2148764,1725,69,9.947820,12.541445,0.002924,5.815944,18.360313,10.625243,37.664661,4.704032,1.042236,0.000000
18/08/2022,11:17:02:148,2149771,2250,76,10.273756,13.199915,0.004311,5.952683,19.156909,10.927203,38.742604,4.812416,0.967285,0.000000
18/08/2022,11:17:03:146,2150769,3812,100,10.569453,12.527663,0.001636,5.966414,18.495713,11.199669,37.820967,4.847754,1.091797,0.000000
18/08/2022,11:17:04:138,2151761,3650,85,10.841656,12.200549,0.003425,6.002440,18.206414,11.449160,37.054333,4.856759,1.035645,0.000000
18/08/2022,11:17:05:165,2152788,2419,75,11.088838,11.694262,0.002769,6.121543,17.818574,11.674819,37.232860,4.970181,1.067993,0.000000
18/08/2022,11:17:06:144,2153767,1951,78,11.332246,11.740739,0.003804,5.980554,17.725097,11.896734,36.499377,4.876574,1.108154,0.000000
18/08/2022,11:17:07:155,2154778,2383,81,11.600724,12.974054,0.002805,6.034002,19.010861,12.145475,38.475706,4.878340,1.033081,0.000000
18/08/2022,11:17:08:147,2155770,1483,82,11.830066,11.916103,0.001026,6.035296,17.952426,12.355147,36.608079,4.881788,1.107422,0.000000
18/08/2022,11:17:09:151,2156774,1730,80,12.036780,11.664729,0.001354,5.998673,17.664756,12.543259,36.548221,4.866721,1.071655,0.000000
18/08/2022,11:17:10:161,2157784,599,70,12.195238,10.584296,0.002061,5.856405,16.442762,12.375149,34.433157,4.754645,0.700439,0.000000
18/08/2022,11:17:11:132,2158755,698,58,11.963590,0.707766,0.001632,5.063899,5.773297,12.137247,22.022865,4.175911,0.719971,0.000000
18/08/2022,11:17:12:185,2159808,599,55,11.742434,0.608593,0.002512,4.981752,5.592857,11.950905,22.088457,4.075728,0.717773,0.000000
18/08/2022,11:17:13:135,2160758,699,53,11.510948,0.640869,0.001392,4.938942,5.581203,11.711814,21.292931,4.075110,0.712158,0.000000
18/08/2022,11:17:14:173,2161796,798,52,11.310878,0.700105,0.002506,4.911531,5.614142,11.548281,21.234657,4.031526,0.719116,0.000000
18/08/2022,11:17:15:149,2162772,1764,67,11.225813,3.873607,0.002538,5.131237,9.007383,11.454540,26.999985,4.253196,0.885010,0.000000
18/08/2022,11:17:16:157,2163780,2442,86,11.869112,23.275260,0.002374,6.384577,29.662211,12.089858,50.658805,5.159780,0.896484,0.000000
18/08/2022,11:17:17:156,2164779,2334,85,12.367115,19.626712,0.003879,6.085696,25.716287,12.579923,45.519661,4.927751,0.864380,0.000000
18/08/2022,11:17:18:164,2165787,651,61,12.320336,6.677331,0.002128,4.383042,11.062500,12.525512,21.853925,3.375609,0.713501,0.000000
18/08/2022,11:17:19:155,2166778,599,55,12.062915,0.706723,0.001818,4.454112,5.162653,12.260712,18.243384,3.652533,0.714478,0.000000
18/08/2022,11:17:20:142,2167765,638,54,11.794092,0.712528,0.001725,3.753262,4.467515,11.984610,14.251555,2.891417,0.719482,0.000000
18/08/2022,11:17:21:153,2168776,599,53,11.519314,0.692721,0.002474,3.303784,3.998979,11.706303,12.319073,2.518722,0.719116,0.000000
18/08/2022,11:17:22:183,2169806,599,51,11.247636,0.674101,0.000724,3.327717,4.002542,11.428142,12.384495,2.517670,0.718872,0.000000
18/08/2022,11:17:23:144,2170767,1835,60,11.368112,9.944626,0.004105,4.586738,14.535469,11.542003,29.821599,3.669739,0.973267,0.000000
18/08/2022,11:17:24:175,2171798,3646,69,11.582286,12.371909,0.001905,5.234543,17.608357,11.750209,34.328906,4.198837,1.023438,0.000000
18/08/2022,11:17:25:159,2172782,2158,68,11.732021,10.452996,0.002309,5.193494,15.648798,11.893761,30.770117,4.127798,0.963623,0.000000
18/08/2022,11:17:26:154,2173777,4008,81,11.919896,11.465677,0.002729,5.609652,17.078059,12.075952,34.345764,4.512512,1.040649,0.000000
18/08/2022,11:17:27:167,2174790,3462,71,12.112464,11.570425,0.001411,5.767055,17.338892,12.262974,33.885722,4.601490,1.032104,0.000000
18/08/2022,11:17:28:156,2175779,599,60,12.021647,5.016646,0.004681,4.590780,9.612107,12.166691,21.195741,3.553247,0.712524,0.000000
18/08/2022,11:17:29:166,2176789,699,54,11.753986,0.743295,0.001174,3.691639,4.436107,11.893912,14.390302,2.895128,0.710938,0.000000
18/08/2022,11:17:30:149,2177772,599,52,11.471823,0.715820,0.004045,3.219529,3.939394,11.606697,12.058337,2.443821,0.719727,0.000000
18/08/2022,11:17:31:173,2178796,599,51,11.205812,0.717831,0.002794,3.166358,3.886982,11.505635,11.545415,2.358727,0.719604,0.000000
18/08/2022,11:17:32:165,2179788,699,51,10.941630,0.632487,0.000716,3.348879,3.982082,11.232179,12.519934,2.550659,0.722900,0.000000
18/08/2022,11:17:33:158,2180781,599,49,10.696826,0.713471,0.005353,3.313007,4.031831,10.992093,12.496856,2.515929,0.719482,0.000000
18/08/2022,11:17:34:181,2181804,499,48,10.468412,0.797510,0.001105,3.464012,4.262626,10.753197,13.028846,2.650922,0.722534,0.000000
