timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
151203799,3018563,1605,43,4.727513,3.697439,0.158131,5.650869,9.506439,26.278348,15.009714,4.592575,0.986084,0.0
151204842,3019606,1397,45,4.800976,2.399441,0.007265,4.506743,6.913448,19.878975,15.173356,3.584664,1.10022,0.0
151205813,3020577,1271,41,4.838198,1.307339,0.003026,4.484135,5.7945,18.020906,15.280037,3.548534,1.015381,0.0
151206820,3021584,1934,42,4.906383,1.95604,0.085944,4.778742,6.820726,20.21302,15.449873,3.798299,1.226074,0.0
151207851,3022615,798,43,5.036209,3.407383,0.340926,4.760803,8.509111,22.419925,15.701043,3.756656,0.947998,0.0
151208815,3023579,1296,49,5.394069,9.113812,0.20179,5.458287,14.773889,32.178352,16.305996,4.397381,1.052979,0.0
151209837,3024601,1558,46,5.467363,2.439509,0.120299,4.960925,7.520733,21.463629,16.48375,3.935441,1.277954,0.0
151210818,3025582,1471,60,5.768206,8.134849,0.018311,5.572629,13.725789,31.615373,17.034974,4.522831,0.94519,0.0
151211818,3026582,2301,64,6.397413,16.432877,0.560628,6.715421,23.708926,45.410716,18.030151,5.45755,1.025757,0.0
151212832,3027596,1791,61,6.729982,9.755615,0.460327,5.493408,15.709351,34.054199,18.602439,4.402527,0.921875,0.0
151213908,3028672,2270,88,7.190421,13.556613,0.427969,5.472257,19.456839,38.59127,19.325606,4.377721,0.95813,0.0
151214787,3029551,1808,69,7.745368,14.960357,0.512877,6.144772,21.618006,41.98499,20.197183,4.957959,0.980103,0.0
151215877,3030641,2805,78,8.151085,13.983168,0.474378,6.22642,20.683966,41.326014,20.859723,5.03262,0.972778,0.0
151216789,3031553,1996,65,8.535502,11.316567,0.401288,6.299097,18.016952,37.408229,21.504524,5.115596,0.786011,1.09375
151217838,3032602,2274,76,8.742761,8.212612,0.486003,6.207094,14.90571,33.783863,21.904041,5.028064,1.043457,0.9375
151218814,3033578,2198,67,9.120708,12.743373,0.462331,5.625242,18.830946,37.249599,22.478951,4.501183,0.91687,0.0
151219834,3034598,2394,67,9.437895,12.091833,0.482221,5.636975,18.211029,36.342094,22.962676,4.50798,0.956055,0.0
151220832,3035596,1892,94,9.783545,12.299512,0.521225,6.114896,18.935633,38.25546,23.51977,4.90974,1.005859,0.0
151221823,3036587,1914,65,9.944971,8.10289,0.547545,5.657574,14.308009,31.446315,23.802295,4.519354,0.74231,1.09375
151222823,3037587,1468,67,10.22924,11.542488,0.558564,5.883851,17.984903,36.75074,24.260577,4.711963,0.988647,0.0
151223843,3038607,2468,64,10.36609,8.166687,0.499878,5.39447,14.061035,30.500288,24.483201,4.274658,1.019531,0.0
151224812,3039576,2439,69,10.666126,12.453326,0.419527,5.729526,18.602379,37.333889,24.951333,4.594168,0.848145,1.023438
151225829,3040593,2353,71,11.006229,13.787584,0.469259,6.236798,20.49364,40.693946,25.49614,5.015024,1.00769,0.0
151226850,3041614,2615,70,11.150362,8.389963,0.479639,6.104896,14.974498,33.042105,25.77022,4.893185,0.915039,0.0
151227803,3042567,1737,88,11.466352,13.825299,0.451911,5.53043,19.80764,38.840038,26.247269,4.418862,0.844604,0.0
151228844,3043608,2736,71,11.68042,11.552809,0.487577,5.715465,17.755851,35.352036,26.557156,4.541899,1.08606,0.0
151229819,3044583,2283,71,11.917303,11.763134,0.494262,5.794529,18.051924,36.151868,26.913874,4.629408,0.84082,1.023438
151230840,3045604,2119,81,12.166803,12.464255,0.500864,6.117288,19.082407,38.366574,27.312673,4.927384,0.973145,0.9375
151231832,3046596,2367,76,12.388877,11.886432,0.493303,5.877249,18.256984,36.930275,27.663372,4.687273,1.055054,0.0
151232817,3047581,2377,83,12.665027,13.746508,0.521014,5.915919,20.18344,39.109152,28.069289,4.722941,0.954712,1.085938
151233833,3048597,1921,70,12.708004,7.889956,0.506003,5.490747,13.886706,30.624824,28.159097,4.367425,0.913818,0.0
151234817,3049581,1490,75,12.801978,9.241264,0.696883,5.362254,15.300401,32.364267,28.311535,4.239267,1.039062,0.0
151235859,3050623,2397,80,13.008464,12.358287,0.526575,5.786752,18.671615,36.909601,28.614002,4.63514,0.854248,1.085938
151236813,3051577,2687,80,13.186682,11.588706,0.46864,5.744692,17.802038,35.577574,28.872898,4.57963,1.03186,0.0
151237844,3052608,2501,79,13.407206,13.47463,0.475358,5.70909,19.659078,38.397127,29.197402,4.549806,0.82666,0.0
151238813,3053577,1951,81,13.576506,11.649604,0.656646,5.698825,18.005075,35.658562,29.435311,4.536374,1.054565,0.0
151239845,3054609,3744,71,13.690096,10.637924,0.568571,5.648898,16.855393,34.05944,29.59567,4.487561,1.068481,0.859375
151240825,3055589,2399,71,13.82198,10.968035,0.526584,5.777205,17.271824,34.905354,29.79099,4.621013,0.941528,0.0
151241825,3056589,2478,71,13.916301,10.229804,0.555794,5.731263,16.516861,33.739425,29.929185,4.576453,0.935425,0.0
151242825,3057589,2500,79,14.067497,11.978027,0.555054,5.616699,18.14978,35.841905,30.140565,4.462761,1.070312,0.0
151243835,3058599,2557,81,14.211716,11.850637,0.530963,5.719988,18.101588,35.954529,30.348207,4.569519,0.888306,0.0
151244836,3059600,2955,81,14.390221,12.904524,0.50913,5.746732,19.160386,37.393521,30.602341,4.578604,1.012085,0.0
151245837,3060601,2251,73,14.498386,10.916818,0.500781,5.998213,17.415812,35.461121,30.776042,4.801107,0.870239,1.085938
151246838,3061602,3494,73,14.619778,11.469061,0.698154,5.726756,17.893971,35.683738,30.951493,4.56782,1.012329,0.0
151247838,3062602,2063,83,14.73659,11.664978,0.507629,5.717896,17.890503,35.628357,31.118523,4.561523,1.026001,0.0
151248838,3063602,2360,70,14.782374,9.844971,0.481812,5.691772,16.018555,33.058899,31.187823,4.527344,0.977173,0.0
151249823,3064587,2125,75,14.862563,10.704468,0.613892,5.70929,17.027649,34.574829,31.308787,4.546997,1.096558,0.0
