Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,15:01:52:504,2407268,2401,78,10.997790,14.595062,0.263320,5.673797,20.532178,39.411522,25.596860,4.544224,0.912842,0.984375
16/08/2022,15:01:53:504,2408268,2296,81,11.412704,15.457854,0.559002,6.575350,22.592206,43.350311,26.232180,5.322485,0.979248,0.000000
16/08/2022,15:01:54:519,2409283,2655,80,11.664802,12.224453,0.312919,5.871110,18.408481,36.428189,26.599601,4.705998,1.027344,0.000000
16/08/2022,15:01:55:492,2410256,1531,81,11.884747,11.536979,0.260158,5.989393,17.786530,35.918461,26.934414,4.825539,1.054810,0.000000
16/08/2022,15:01:56:520,2411284,1583,70,12.058841,10.824990,0.330957,5.738685,16.894632,34.375276,27.192984,4.590810,1.016357,0.000000
16/08/2022,15:01:57:533,2412297,1874,72,12.242168,10.535274,0.275014,6.241913,17.052201,35.777407,27.508155,5.039378,1.016113,0.000000
16/08/2022,15:01:58:543,2413307,2015,69,12.381660,9.460329,0.302467,6.331224,16.094020,34.683980,27.768022,5.128097,0.899902,0.000000
16/08/2022,15:01:59:491,2414255,1951,78,12.418827,7.137790,0.350620,5.923613,13.412022,30.578915,27.869415,4.734576,0.928833,0.882812
16/08/2022,15:02:00:522,2415286,1376,70,12.593819,11.498327,0.305691,5.788801,17.592820,35.363718,28.122883,4.620239,0.863770,0.000000
16/08/2022,15:02:01:492,2416256,2814,81,12.849803,13.138172,0.350420,6.050524,19.539116,38.795353,28.516240,4.882044,0.992310,0.000000
16/08/2022,15:02:02:517,2417281,2006,83,13.093725,13.279299,0.333994,6.277560,19.890854,39.633588,28.901377,5.055410,1.041260,0.000000
16/08/2022,15:02:03:490,2418254,1788,78,13.243801,11.200726,0.380814,5.615830,17.197371,34.491718,29.105823,4.493833,0.968506,1.078125
16/08/2022,15:02:04:511,2419275,1854,81,13.405407,11.718750,0.447947,5.727644,17.894341,35.617871,29.332117,4.576884,0.941650,0.000000
16/08/2022,15:02:05:498,2420262,1587,81,13.515136,10.304958,0.385221,5.724452,16.414631,33.538310,29.485493,4.576979,0.914673,1.125000
16/08/2022,15:02:06:515,2421279,1701,70,13.604827,9.911813,0.270051,5.877679,16.059543,33.573046,29.629579,4.720711,1.041382,0.000000
16/08/2022,15:02:07:526,2422290,1627,71,13.672432,9.380689,0.259264,5.826187,15.466141,32.528678,29.734879,4.679522,1.045776,0.000000
16/08/2022,15:02:08:511,2423275,1646,76,13.844956,12.419960,0.241303,5.789284,18.450547,36.645218,29.984638,4.636863,1.041504,0.000000
16/08/2022,15:02:09:552,2424316,2067,77,13.989986,11.632185,0.285781,6.049668,17.967635,36.648420,30.219060,4.867197,0.998413,0.000000
16/08/2022,15:02:10:505,2425269,2123,76,14.108491,10.584352,0.313326,6.279761,17.177439,35.638017,30.420336,5.068442,0.975586,0.000000
16/08/2022,15:02:11:509,2426273,2411,82,14.208442,10.672442,0.261497,6.111201,17.045140,35.292987,30.586180,4.928221,1.028687,0.000000
16/08/2022,15:02:12:513,2427277,2857,79,14.333838,11.126575,0.264992,6.313977,17.705545,36.722738,30.806219,5.104703,1.006226,0.000000
16/08/2022,15:02:13:513,2428277,2625,76,14.410845,10.196454,0.351757,5.931099,16.479310,34.075715,30.923571,4.765419,0.931396,0.000000
16/08/2022,15:02:14:499,2429263,2479,82,14.493469,10.817886,0.276461,5.632280,16.726627,33.902893,31.029975,4.490479,1.006470,0.000000
16/08/2022,15:02:15:518,2430282,1847,82,14.547870,10.195904,0.289205,5.553209,16.038318,32.847623,31.093983,4.428206,1.055542,0.000000
16/08/2022,15:02:16:522,2431286,2441,81,14.614686,10.139383,0.285829,5.958625,16.383837,34.108400,31.203578,4.798215,0.930176,0.000000
16/08/2022,15:02:17:509,2432273,1983,75,14.697014,10.872769,0.293747,5.744174,16.910690,34.368203,31.317053,4.599218,1.011475,0.000000
16/08/2022,15:02:18:523,2433287,2290,75,14.778276,10.917741,0.342812,5.744114,17.004667,34.494077,31.429043,4.589633,1.054810,0.000000
16/08/2022,15:02:19:523,2434287,2591,82,14.885489,11.708587,0.370180,5.657087,17.735854,35.405868,31.573061,4.527858,0.945068,0.000000
16/08/2022,15:02:20:536,2435300,2411,82,14.922566,9.931536,0.333529,5.657550,15.922615,32.886425,31.620013,4.531540,1.019531,0.000000
16/08/2022,15:02:21:516,2436280,2138,81,14.968600,10.150092,0.345605,5.699286,16.194983,33.329714,31.681868,4.554018,0.924683,1.078125
