Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,16:58:03:513,41037,1294,35,3.538880,0.315737,0.003868,5.126953,3.341460,11.309124,11.320355,2.297940,0.756836,0.000000
09/08/2022,16:58:04:509,42033,1819,35,3.525901,0.199125,0.002484,4.762618,3.071875,10.702028,10.702028,2.167146,0.800049,0.000000
09/08/2022,16:58:05:530,43054,1860,35,3.514253,0.242773,0.001740,4.466905,3.152323,10.812231,10.812231,2.199288,0.800415,0.000000
09/08/2022,16:58:06:506,44030,1847,36,3.504123,0.277477,0.001818,4.715327,3.192557,10.805016,10.805016,2.201928,0.800049,0.000000
09/08/2022,16:58:07:509,45033,1690,36,3.493214,0.247757,0.000634,5.361069,3.035071,10.157788,10.185867,2.090282,0.781006,0.000000
09/08/2022,16:58:08:520,46044,1966,36,3.485924,0.223364,0.003884,4.761218,3.160265,11.040974,11.021014,2.233680,0.810059,0.000000
09/08/2022,16:58:09:517,47041,839,35,3.475259,0.241447,0.002694,4.557504,3.146586,10.830510,10.837513,2.187667,0.830200,0.000000
09/08/2022,16:58:10:527,48051,795,35,3.465416,0.248048,0.005024,5.314424,3.148521,10.706925,10.692417,2.194572,0.832397,0.000000
09/08/2022,16:58:11:524,49048,1612,34,3.458882,0.281729,0.000490,4.953238,3.121302,10.349508,10.339271,2.132605,0.781128,0.000000
09/08/2022,16:58:12:521,50045,952,35,3.452181,0.247924,0.056340,4.691323,3.220845,11.204451,11.215700,2.257200,0.856079,0.000000
09/08/2022,16:58:13:516,51040,1825,36,3.449538,0.251405,0.004905,5.046928,3.325329,11.650369,11.672652,2.349608,0.799927,0.000000
09/08/2022,16:58:14:528,52052,1898,35,3.435617,0.255453,0.000870,4.562682,3.015336,10.031481,10.009152,2.059201,0.810303,0.000000
09/08/2022,16:58:15:524,53048,809,35,3.432228,0.277166,0.003119,5.286147,3.247462,10.990977,10.990977,2.246770,0.820557,0.000000
09/08/2022,16:58:16:520,54044,1796,35,3.426673,0.245941,0.001118,4.595299,3.184683,10.922293,10.922293,2.221165,0.799438,0.000000
09/08/2022,16:58:17:533,55057,937,36,3.422667,0.273167,0.001367,4.885805,3.258979,11.167350,11.167350,2.268351,0.830811,0.000000
09/08/2022,16:58:18:518,56042,1937,35,3.421820,0.266930,0.001283,4.646779,3.293516,11.286257,11.286257,2.296982,0.802246,0.000000
09/08/2022,16:58:19:524,57048,784,34,3.416678,0.241127,0.002888,4.554403,3.219291,11.032816,11.059682,2.262139,0.892822,0.000000
09/08/2022,16:58:20:537,58061,1737,34,3.415119,0.265019,0.003819,4.708967,3.250384,11.143015,11.116658,2.260487,0.789429,0.000000
09/08/2022,16:58:21:532,59056,1198,35,3.412793,0.256604,0.001650,4.795619,3.213968,10.990124,10.979286,2.243479,0.751953,0.000000
09/08/2022,16:58:22:529,60053,752,35,3.401990,0.225992,0.043597,4.481724,3.064437,10.397854,10.397854,2.134576,0.841309,0.000000
09/08/2022,16:58:23:539,61063,771,35,3.401585,0.265211,0.000870,4.659600,3.345249,11.575620,11.587243,2.350405,0.873169,0.000000
09/08/2022,16:58:24:537,62061,1911,35,3.398799,0.278458,0.004290,4.551549,3.221198,10.838307,10.842744,2.222586,0.799683,0.000000
09/08/2022,16:58:25:532,63056,660,35,3.390645,0.226029,0.000930,5.099865,3.116515,10.720254,10.715645,2.192985,0.870605,0.000000
09/08/2022,16:58:26:545,64069,741,36,3.382302,0.281433,0.003854,4.536223,3.113787,10.352728,10.352728,2.119607,0.850342,0.000000
09/08/2022,16:58:27:542,65066,1796,36,3.382234,0.290161,0.001038,4.834825,3.281738,11.137078,11.126095,2.265832,0.799561,0.000000
09/08/2022,16:58:28:537,66061,1735,36,3.389842,0.262954,0.000310,5.096125,3.467207,12.349977,12.362377,2.475811,0.780151,0.000000
09/08/2022,16:58:29:548,67072,1665,35,3.378890,0.201771,0.001307,4.772515,2.949908,10.046669,10.046669,2.057897,0.781982,0.000000
09/08/2022,16:58:30:544,68068,840,35,3.373915,0.234722,0.002446,4.684182,3.198475,11.083550,11.110268,2.245032,0.833008,0.000000
09/08/2022,16:58:31:541,69065,1395,36,3.375079,0.260130,0.000436,4.629953,3.260683,11.144431,11.137752,2.280077,0.760864,0.000000
09/08/2022,16:58:32:555,70079,1535,35,3.371207,0.198069,0.047956,4.721505,3.117388,10.898724,10.898785,2.210183,0.770996,0.000000
09/08/2022,16:58:33:534,71058,1508,35,3.369085,0.232910,0.061035,4.900251,3.181824,11.084298,11.064113,2.237113,0.771729,0.000000
09/08/2022,16:58:34:557,72081,719,35,3.365679,0.216944,0.021798,4.795619,3.158079,11.045619,11.045619,2.232989,0.839355,0.000000
09/08/2022,16:58:35:555,73079,1774,35,3.362037,0.268216,0.003811,4.041948,3.177760,10.853687,10.843077,2.195476,0.790039,0.000000
09/08/2022,16:58:36:549,74073,865,35,3.389770,0.260454,0.005024,5.335552,4.098784,15.808472,15.808472,3.060809,0.950684,0.000000
09/08/2022,16:58:37:546,75070,1366,35,3.396771,0.257469,0.002367,4.769461,3.454092,12.222060,12.234356,2.458968,0.761230,0.000000
09/08/2022,16:58:38:556,76080,1572,36,3.396181,0.210425,0.000373,4.983085,3.232938,11.491506,11.502648,2.310582,0.770874,0.000000
