timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
170037505,9532269,1173,39,4.474626,2.216844,0.065306,4.242962,6.525112,18.16719,14.258108,3.321521,1.308594,0.0
170038486,9533250,1580,41,4.599666,2.922944,0.114646,4.687863,7.725453,21.033497,14.518719,3.713916,1.032959,0.0
170039471,9534235,1286,40,4.692271,2.283073,0.158395,4.782611,7.224079,20.725575,14.737732,3.797908,0.878906,0.0
170040512,9535276,1830,53,5.00758,8.219735,0.217,5.301304,13.738038,30.34798,15.281861,4.256514,1.001099,0.0
170041531,9536295,1578,55,5.465972,11.697956,0.099519,5.539558,17.337033,35.50237,16.034353,4.449299,0.977539,0.953125
170042483,9537247,2278,57,5.861095,10.931283,0.081879,5.299321,16.312483,33.329208,16.663762,4.287196,1.043701,0.0
170043476,9538240,2410,72,6.503571,17.813088,0.444896,6.519338,24.777321,46.06107,17.66222,5.280022,0.826782,1.09375
170044472,9539236,2409,70,6.99781,14.460169,0.354041,5.625622,20.439832,39.732965,18.444943,4.50984,0.85437,0.0
170045460,9540224,1796,58,7.315164,10.571571,0.366456,4.972437,15.910463,32.12549,18.932069,3.928939,1.028687,0.0
170046469,9541233,2111,63,7.601093,9.635091,0.362566,5.428963,15.42662,33.692951,19.452917,4.326385,0.783325,0.0
170047485,9542249,2216,69,8.047557,14.063371,0.324049,5.590897,19.978317,39.483401,20.175445,4.489408,1.104858,0.0
170048454,9543218,1135,58,8.241846,7.228649,0.390373,5.772439,13.391461,30.221105,20.540318,4.642869,1.098633,0.0
170049470,9544234,2142,76,8.646221,13.614568,0.298921,6.049367,19.962856,40.557735,21.230919,4.913551,1.0896,0.0
170050453,9545217,1891,78,9.023798,12.532012,0.381155,6.128482,19.041648,39.299499,21.887195,4.939166,1.006104,0.0
170051482,9546246,2501,65,9.340258,11.955129,0.428736,5.654041,18.037907,36.036137,22.383924,4.535539,0.97229,0.0
170052464,9547228,1682,70,9.741887,14.041826,0.402844,5.834913,20.279584,39.788925,23.022936,4.699054,0.930176,0.0
170053464,9548228,1561,63,9.984132,10.517792,0.467605,5.656649,16.642046,34.158452,23.413873,4.515856,0.942871,0.0
170054466,9549230,1982,62,10.210481,10.118713,0.363708,5.839478,16.321899,35.319275,23.839066,4.707397,1.012573,0.0
170055465,9550229,1962,67,10.529638,12.910246,0.355845,5.871875,19.137967,37.939782,24.343166,4.69178,1.026611,0.0
170056466,9551230,2164,80,10.815705,12.694458,0.313904,5.531128,18.53949,36.592957,24.780659,4.419189,1.009766,0.0
170057467,9552231,1753,67,11.055894,11.22876,0.473755,5.838501,17.541016,35.996291,25.181618,4.661476,0.960327,0.0
170058469,9553233,2581,69,11.293255,11.279748,0.848645,5.560351,17.688744,35.956658,25.566825,4.432274,1.081543,0.0
170059470,9554234,2337,70,11.554881,11.909843,0.692545,6.009067,18.611454,37.879906,26.007018,4.827326,0.990601,0.0
170100485,9555249,1531,70,11.761778,11.359063,0.32298,5.660172,17.342216,35.367619,26.341994,4.513251,1.005005,0.0
170101454,9556218,1449,70,11.980359,11.788685,0.358213,5.6447,17.791598,35.894932,26.687947,4.507813,0.963501,0.0
