timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
110239490,1287113,1597,46,8.138401,0.965538,0.00776,3.919677,4.892975,8.065133,15.688558,3.120361,0.733765,0.0
110240396,1288019,1351,48,8.125477,2.189898,0.046471,5.566044,7.802412,8.055027,24.123443,4.536553,0.727539,0.0
110241439,1289062,1098,48,8.084433,1.400717,0.034013,5.425071,6.8598,8.016268,22.552557,4.438224,0.728638,0.0
110242421,1290044,699,45,7.936659,0.451965,0.00123,3.660352,4.113547,7.870892,13.387573,2.785567,0.728271,0.0
110243437,1291060,599,45,7.773341,0.308156,0.000621,2.975872,3.284649,7.800273,10.669333,2.227658,0.720337,0.0
110244418,1292041,699,44,7.629987,0.350652,0.0003,3.471713,3.822665,7.656085,13.584983,2.75019,0.727539,0.0
110245441,1293064,699,45,7.537659,0.29328,0.001806,4.696954,4.99204,7.562748,20.073287,3.878377,0.728271,0.0
110246421,1294044,699,43,7.425318,0.359701,0.000776,4.099333,4.459811,7.449491,16.423823,3.260988,0.729126,0.0
110247451,1295074,598,43,7.280872,0.327076,0.001431,2.973993,3.3025,7.304346,10.460287,2.209144,0.728271,0.0
110248418,1296041,599,43,7.138933,0.354312,0.000237,3.071531,3.426079,7.161404,11.259934,2.340286,0.731323,0.0
110249455,1297078,1154,43,7.025284,0.454696,0.000237,3.38642,3.841353,7.046981,12.811886,2.621572,0.765015,0.0
110250430,1298053,1897,45,6.944237,0.902213,0.037293,3.895305,4.83481,6.96521,14.884663,3.009426,0.759155,0.0
110251425,1299048,699,42,6.8239,0.408879,0.023552,3.063065,3.495497,6.844018,11.159691,2.313867,0.728516,0.0
110252437,1300060,599,42,6.698009,0.303828,0.001961,2.979007,3.284796,6.717538,10.767803,2.246412,0.724365,0.0
110253434,1301057,699,43,6.574103,0.363192,0.000906,2.902279,3.266377,6.757113,10.432488,2.177725,0.742065,0.0
110254439,1302062,1534,43,6.473772,0.40639,0.01509,3.329235,3.750715,6.650279,12.774285,2.585393,0.755981,0.0
110255438,1303061,1182,45,6.449323,1.344108,0.122495,4.326696,5.793299,6.619519,17.231713,3.328268,0.733154,0.0
110256434,1304057,699,42,6.333081,0.295603,0.002317,2.899871,3.197791,6.62071,10.480146,2.193966,0.728516,0.0
110257430,1305053,699,42,6.220457,0.283522,0.00227,2.877966,3.163758,6.497865,10.287699,2.151352,0.729126,0.0
110258442,1306065,998,43,6.112969,0.317125,0.001532,2.88005,3.198708,6.485997,10.19784,2.151934,0.734009,0.0
110259438,1307061,992,41,6.011979,0.279121,0.001025,3.038633,3.318779,6.371524,11.159,2.301381,0.731689,0.0
110300455,1308078,1646,41,5.912501,0.33422,0.005342,2.870224,3.209785,6.259282,10.538555,2.159747,0.838745,0.0
110301434,1309057,599,42,5.848683,0.677616,0.028451,3.452837,4.158904,6.180313,12.88692,2.624451,0.728271,0.0
110302442,1310065,699,41,5.762835,0.339866,0.001246,3.054787,3.395899,6.082958,11.047114,2.294523,0.733398,0.0
110303445,1311068,1075,43,5.701591,0.641173,0.023405,3.390248,4.054826,6.010235,13.200245,2.639347,0.904663,1.101562
110304459,1312082,1047,43,5.705347,1.293459,0.201629,4.311147,5.806235,6.000429,17.301741,3.348611,0.814575,0.0
110305440,1313063,1467,43,5.688694,1.060915,0.083027,4.101101,5.245043,5.9731,16.278439,3.193559,0.81665,0.0
110306475,1314098,1640,43,5.696747,1.409844,0.077896,4.430802,5.918542,5.971188,17.932589,3.473783,0.821655,0.0
110307429,1315052,623,43,5.650531,0.696201,0.027872,3.72602,4.450093,5.914853,13.974456,2.857094,0.732178,0.0
110308460,1316083,599,41,5.580437,0.38099,0.001024,3.211255,3.593269,5.835671,11.713306,2.455945,0.734131,0.0
110309440,1317063,599,40,5.510765,0.359633,0.001126,3.325669,3.686429,6.081272,12.374552,2.543467,0.733887,0.0
110310464,1318087,599,41,5.437205,0.335227,0.000871,3.075082,3.41118,6.120543,11.290632,2.340013,0.726562,0.0
110311444,1319067,599,41,5.369636,0.366211,0.000871,3.220734,3.587816,6.028098,11.992307,2.476752,0.739136,0.0
110312469,1320092,599,41,5.296924,0.329752,0.000747,2.963783,3.294281,5.932219,10.617875,2.225326,0.724609,0.0
110313433,1321056,528,41,5.243561,0.382646,0.001489,3.45506,3.839195,5.965302,12.888074,2.678149,0.728882,0.0
110314465,1322088,627,41,5.187185,0.291626,0.000696,3.313758,3.606081,5.884162,12.39437,2.55343,0.728638,0.0
110315450,1323073,599,40,5.121519,0.339478,0.000591,3.065479,3.405549,5.917023,11.127206,2.309341,0.734375,0.0
110316476,1324099,599,41,5.055696,0.337926,0.002791,2.907806,3.248523,5.844214,10.403827,2.191001,0.728516,0.0
110317452,1325075,599,40,4.999674,0.401453,0.00101,3.125856,3.52832,5.759271,11.438654,2.373299,0.733398,0.0
110318482,1326105,499,41,4.969019,0.51427,0.01037,3.596484,4.121124,5.728688,13.577321,2.802051,0.729614,0.0
110319461,1327084,537,40,4.975437,0.852535,0.116139,4.174963,5.143637,5.764894,16.322367,3.291395,0.734131,0.0
110320468,1328091,600,40,4.94164,0.538967,0.05293,3.416951,4.008849,5.703558,12.620963,2.582285,0.734131,0.0
110321471,1329094,1164,43,4.951976,1.07576,0.137602,4.015943,5.229305,5.686501,15.929023,3.11255,0.734619,0.0
110322475,1330098,957,43,4.937777,0.623131,0.008459,3.923997,4.555586,5.646031,14.828863,3.07393,0.742065,0.0
110323468,1331091,1155,41,4.917787,0.607674,0.001339,3.770731,4.379744,5.614287,13.932142,2.917104,0.739258,0.0
110324468,1332091,1308,42,4.919299,0.80408,0.003991,4.152311,4.960382,5.591073,15.957807,3.246665,0.734741,0.0
110325483,1333106,499,41,4.882991,0.453526,0.002866,3.447295,3.903687,5.530749,12.737958,2.621643,0.737793,0.0
110326477,1334100,3932,41,4.861088,0.603984,0.001383,3.673414,4.278781,5.485365,14.015738,2.866307,0.759155,0.0
110327489,1335112,499,40,4.833869,0.638045,0.023065,3.434018,4.095127,5.563724,12.902451,2.657027,0.732056,0.0
110328496,1336119,898,41,4.838712,0.860354,0.028946,4.078804,4.968104,5.542239,15.550468,3.166056,0.729004,0.0
110329492,1337115,868,45,4.872705,1.329257,0.055217,4.399426,5.7839,5.550922,17.793597,3.4627,0.724609,0.0
110330447,1338070,915,43,4.897621,1.364717,0.037924,4.172641,5.575282,5.551786,18.504178,3.339694,1.044312,0.0
110331526,1339149,998,48,5.15404,7.155321,0.336139,4.900652,12.392112,5.572773,26.498912,3.857137,0.734619,0.0
110332457,1340080,537,45,5.144857,0.856188,0.008025,4.051748,4.91596,5.547439,15.417628,3.141076,0.726685,0.0
110333499,1341122,1511,43,5.115984,0.71626,0.0113,3.547071,4.274631,5.505254,13.723525,2.77139,0.744751,0.0
110334473,1342096,798,42,5.082485,0.561769,0.000761,3.654163,4.216692,5.623142,13.69815,2.810833,0.742676,0.0
110335494,1343117,579,40,5.035581,0.385762,0.002066,3.347661,3.735489,5.607989,12.47327,2.567424,0.729492,0.0
