timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
165218880,9033644,599,43,7.20786,2.103663,0.061832,3.99507,6.160565,17.468649,20.650398,3.144422,1.123047,0.0
165219879,9034643,699,41,7.111562,1.224122,0.002424,3.235547,4.462093,12.887918,20.377879,2.461648,0.984619,1.0625
165220870,9035634,699,41,7.004048,0.397676,0.003421,3.697056,4.098153,14.341551,20.162512,2.910564,1.042114,0.953125
165221885,9036649,599,40,6.915905,0.704337,0.00117,3.808138,4.513645,15.367851,19.992986,3.027553,0.799683,1.0
165222882,9037646,599,40,6.798743,0.335332,0.000421,3.344895,3.680649,12.496091,19.721224,2.582136,0.790527,1.101562
165223879,9038643,1140,40,6.677938,0.396882,0.000612,3.008537,3.406031,10.750819,19.401813,2.259097,1.168335,0.0
165224890,9039654,699,40,6.562729,0.449162,0.002877,2.990355,3.442395,10.819446,19.09622,2.254138,1.066528,0.0
165225889,9040653,699,39,6.443653,0.326728,0.002475,2.935664,3.264868,10.437314,18.783571,2.200345,1.127075,1.007812
165226892,9041656,598,40,6.360493,0.320862,0.001099,3.793213,4.115173,14.733459,18.638924,2.987671,0.803101,0.0
165227893,9042657,599,39,6.247103,0.262883,0.000852,2.931331,3.195066,10.342413,18.342028,2.1983,0.931641,1.109375
165228886,9043650,699,39,6.154343,0.354809,0.001159,3.296447,3.652414,12.33087,18.127129,2.533752,1.127686,0.882812
165229884,9044648,698,39,6.06984,0.341502,0.001106,3.428971,3.771579,12.935093,17.942812,2.650301,1.076904,0.0
165230896,9045660,1893,39,5.974727,0.34132,0.001223,3.058791,3.401334,11.04718,17.697278,2.315663,1.100464,0.0
165231883,9046647,599,39,5.902324,0.345806,0.002536,3.621178,3.969519,14.003467,17.563773,2.853213,1.168945,0.0
165232887,9047651,599,39,5.824922,0.343021,0.003896,3.359593,3.70651,12.629268,17.389832,2.598601,0.829224,0.0
165233899,9048663,699,39,5.746461,0.307729,0.002736,3.326294,3.636759,12.423329,17.211747,2.560255,1.09668,0.0
165234884,9049648,554,39,5.65908,0.31578,0.000904,3.014522,3.331206,10.762974,16.97844,2.273424,0.915283,0.0
165235894,9050658,599,39,5.586502,0.292659,0.000929,3.302343,3.595931,12.229772,16.811388,2.534725,0.997803,0.0
165236896,9051660,599,38,5.540545,0.278949,0.001571,4.031946,4.312466,16.354884,16.794922,3.259398,1.171021,0.0
165237887,9052651,599,39,5.487456,0.283877,0.002678,3.771948,4.058503,14.911016,16.727437,2.994252,0.981201,0.0
165238898,9053662,699,38,5.417531,0.318493,0.003021,3.186249,3.507763,11.810827,16.553776,2.438567,1.065918,1.007812
165239899,9054663,699,38,5.36418,0.308919,0.001207,3.631285,3.941412,14.237552,16.470144,2.867445,1.096436,0.0
165240894,9055658,699,38,5.301972,0.326721,0.003113,3.292542,3.622375,12.420319,16.325362,2.54805,0.917603,0.0
165241910,9056674,698,39,5.24531,0.392527,0.000613,3.314301,3.707441,12.522512,16.190225,2.561391,0.829956,0.0
165242885,9057649,599,39,5.199447,0.339504,0.00042,3.641464,3.981389,14.039528,16.112186,2.856709,1.049438,0.0
165243897,9058661,599,39,5.159865,0.426306,0.003321,3.633096,4.062723,13.857171,16.033663,2.842897,0.861206,0.0
165244908,9059672,699,38,5.107064,0.341785,0.000482,3.356692,3.69896,12.601769,15.909624,2.587239,1.049805,0.0
165245906,9060670,798,38,5.052322,0.474624,0.001269,3.113579,3.589471,11.545193,15.752193,2.368406,1.015625,0.0
165246904,9061668,798,38,5.006015,0.298577,0.000916,3.454932,3.754426,13.221901,15.661916,2.699538,1.119263,0.0
165247931,9062695,698,39,4.960992,0.35778,0.000734,3.384324,3.742837,12.786865,15.559441,2.626897,1.110718,0.0
165248885,9063649,699,39,4.920667,0.457734,0.001247,3.40369,3.86267,12.832167,15.459311,2.621959,1.045654,0.0
165249929,9064693,599,38,4.864599,0.384509,0.001471,2.889061,3.275042,10.40675,15.287163,2.161118,1.003296,0.0
165250891,9065655,699,37,4.819562,0.351055,0.000995,3.303506,3.655555,12.352275,15.177838,2.541473,1.017456,0.0
165251908,9066672,998,39,4.793853,0.388798,0.002728,3.679747,4.071273,14.519134,15.155207,2.920868,1.045166,0.960938
165252910,9067674,699,38,4.780417,0.293113,0.00036,4.130466,4.423939,16.999641,15.2222,3.359874,1.083862,0.0
165253923,9068687,787,38,4.725404,0.337549,0.002799,2.904312,3.244661,10.379266,15.048892,2.1683,1.120605,0.0
165254904,9069668,798,37,4.683096,0.315067,0.000482,3.239266,3.554815,12.179195,14.94507,2.48869,1.0896,0.0
165255912,9070676,2361,36,4.643,0.244701,0.002489,3.291481,3.53867,12.297774,14.852415,2.533457,1.003662,0.0
165256911,9071675,699,37,4.605741,0.340901,0.00115,3.265986,3.608038,12.313903,14.761029,2.530025,1.06958,0.960938
165257925,9072689,699,37,4.557346,0.350403,0.001343,2.897583,3.249329,10.366455,14.60408,2.165557,0.804077,1.109375
165258911,9073675,699,38,4.538729,0.734772,0.000482,3.308009,4.043263,12.999646,14.545976,2.556253,1.005371,0.0
165259919,9074683,599,38,4.510634,0.37963,0.002535,3.359531,3.741696,12.745835,14.482521,2.59285,1.049683,0.0
165300918,9075682,599,38,4.478179,0.382802,0.001514,3.224812,3.609127,11.80449,14.386112,2.458603,1.029053,0.0
165301928,9076692,699,38,4.455359,0.386821,0.000917,3.450199,3.837937,13.122742,14.341082,2.676924,1.033447,1.070312
165302918,9077682,799,37,4.427391,0.332611,0.002417,3.344968,3.679997,12.67247,14.280893,2.579974,1.020874,0.0
165303925,9078689,599,38,4.398766,0.298709,0.002217,3.317701,3.618627,12.510049,14.218281,2.558241,0.933838,0.0
165304929,9079693,699,38,4.372735,0.314086,0.002182,3.358691,3.674959,12.677753,14.162822,2.598207,0.771851,0.0
165305922,9080686,1941,37,4.350052,0.391952,0.001156,3.345752,3.73886,12.513974,14.103816,2.573527,1.101685,0.0
165306925,9081689,699,37,4.334488,0.313588,0.000737,3.597753,3.912077,14.044956,14.101725,2.839086,0.961792,0.0
165307933,9082697,812,38,4.317254,0.364933,0.001704,3.486732,3.853369,13.278375,14.072261,2.702785,0.832397,0.0
165308930,9083694,499,37,4.287493,0.389984,0.003387,3.098033,3.491405,11.204907,13.968831,2.342518,0.822266,0.0
165309925,9084689,599,38,4.262021,0.321292,0.002206,3.247181,3.570679,12.130661,13.90351,2.500108,1.069702,0.0
165310934,9085698,599,38,4.242521,0.364923,0.002392,3.346505,3.713821,12.662617,13.859414,2.592675,1.08374,0.0
165311933,9086697,599,36,4.236748,0.349878,0.000726,3.731734,4.082339,14.781265,13.892667,2.96794,1.091431,0.0
165312930,9087694,599,37,4.203791,0.365478,0.000733,2.946794,3.313005,10.596412,13.775061,2.216205,1.021851,0.0
165313928,9088692,4414,37,4.187147,0.380291,0.002571,3.353505,3.736368,12.613136,13.73373,2.591482,0.793823,0.0
165314922,9089686,655,36,4.167839,0.319501,0.002265,3.323141,3.644907,12.51924,13.690442,2.564761,0.928833,1.109375
165315951,9090715,599,36,4.142958,0.32272,0.002265,3.142671,3.467656,11.578093,13.615378,2.400369,0.935547,0.0
165316919,9091683,578,36,4.122355,0.270332,0.001778,3.310772,3.582882,12.516834,13.575007,2.563536,1.021851,1.109375
165317953,9092717,755,36,4.111463,0.343552,0.000379,3.463035,3.806965,13.046628,13.556759,2.69117,1.000122,0.0
165318946,9093710,599,36,4.108032,0.374231,0.000826,3.643592,4.018649,14.263727,13.582917,2.873542,1.040894,1.109375
165319940,9094704,696,38,4.103837,0.406634,0.002153,3.580832,3.98962,13.762227,13.589263,2.804107,1.147583,0.0
165320941,9095705,499,37,4.102206,0.371849,0.002022,3.684109,4.05798,14.083265,13.606853,2.8944,0.86084,0.0
165321953,9096717,599,37,4.09548,0.31153,0.002872,3.599302,3.913704,13.959516,13.619435,2.835505,1.082153,0.882812
