Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:32:53:776,27146083,2403,87,15.576333,7.887185,5.064535,6.327031,19.278751,39.181924,5.028696,0.869629,1.062500
17/08/2022,17:32:54:790,27147097,2489,88,15.725856,8.335428,5.016245,6.483697,19.835370,40.157966,5.169237,0.809814,1.062500
17/08/2022,17:32:55:794,27148101,2636,89,15.891830,8.719007,5.123345,6.462090,20.304442,40.878687,5.150766,0.802002,1.062500
17/08/2022,17:32:56:796,27149103,2448,89,16.052758,8.755959,4.998128,6.630256,20.384343,40.972523,5.268740,0.821045,1.062500
17/08/2022,17:32:57:782,27150089,2662,89,16.208068,8.991843,5.028700,6.372204,20.392747,40.608298,5.064822,0.840698,1.062500
17/08/2022,17:32:58:800,27151107,2644,88,16.346637,8.941403,4.881327,6.320358,20.143087,40.069518,5.014839,0.844971,1.062500
17/08/2022,17:32:59:789,27152096,2643,92,16.490400,8.954901,4.952901,6.393043,20.300845,40.392815,5.087283,0.753906,1.062500
17/08/2022,17:33:00:787,27153094,2619,93,16.623366,9.124848,4.767778,6.362221,20.254847,40.346092,5.067276,0.823364,1.062500
17/08/2022,17:33:01:803,27154110,2941,88,16.752731,9.024091,4.830584,6.398172,20.252847,39.968069,5.082308,0.830444,1.062500
17/08/2022,17:33:02:783,27155090,1853,78,16.682194,5.085100,3.564092,6.157696,14.806888,32.054942,4.875003,0.824341,1.070312
17/08/2022,17:33:03:797,27156104,1797,76,16.605876,4.978032,3.461041,6.067031,14.506105,31.816070,4.825448,0.781860,0.000000
17/08/2022,17:33:04:789,27157096,1896,77,16.521419,5.151536,3.023921,6.095984,14.271441,31.772591,4.837307,0.801758,0.000000
17/08/2022,17:33:05:786,27158093,1974,76,16.451243,5.282433,3.196901,6.061308,14.540642,32.077359,4.820977,0.826904,0.000000
17/08/2022,17:33:06:803,27159110,2032,77,16.390687,5.488874,3.159489,6.100513,14.748876,32.466908,4.841735,0.811401,0.000000
17/08/2022,17:33:07:789,27160096,1996,76,16.331959,5.186850,3.171013,6.417496,14.775359,33.150903,5.122576,0.830688,0.000000
17/08/2022,17:33:08:806,27161113,1896,75,16.264639,5.225377,3.057267,6.139542,14.422186,32.186409,4.884484,0.794678,0.000000
17/08/2022,17:33:09:784,27162091,1897,75,16.220711,5.663786,3.338569,6.052863,15.055219,32.499390,4.804313,0.807251,1.070312
17/08/2022,17:33:10:796,27163103,1996,75,16.166617,5.342232,3.199816,6.128379,14.670428,32.454539,4.862322,0.821167,1.070312
17/08/2022,17:33:11:796,27164103,2005,75,16.112916,5.395423,3.092388,6.191537,14.679347,32.607429,4.911943,0.825317,1.070312
17/08/2022,17:33:12:793,27165100,1996,76,16.072893,5.343655,3.551990,6.097723,14.993368,32.696045,4.839722,0.821411,1.070312
17/08/2022,17:33:13:809,27166116,1898,75,16.020820,5.033627,3.543403,6.034897,14.611926,31.884386,4.776811,0.821533,1.070312
17/08/2022,17:33:14:794,27167101,2011,75,15.971527,5.065858,3.533839,6.059996,14.659693,32.139610,4.801131,0.854492,1.070312
17/08/2022,17:33:15:810,27168117,1959,78,15.929278,5.203649,3.490703,6.077393,14.771746,32.298256,4.828655,0.822876,1.070312
17/08/2022,17:33:16:797,27169104,2093,76,15.885322,5.276778,3.417068,6.024038,14.717883,32.225601,4.766990,0.819458,1.070312
17/08/2022,17:33:17:799,27170106,2021,76,15.853120,5.348275,3.406219,6.217300,14.971794,32.942783,4.937293,0.822388,0.000000
17/08/2022,17:33:18:798,27171105,2031,77,15.817331,5.355134,3.364121,6.133790,14.853045,32.675981,4.861879,0.818237,1.070312
17/08/2022,17:33:19:797,27172104,1796,76,15.772422,5.212402,3.161133,6.186340,14.559875,32.316833,4.908962,0.828613,1.070312
17/08/2022,17:33:20:817,27173124,1895,75,15.731318,5.327060,3.122884,6.169260,14.619204,32.439574,4.893932,0.800903,0.000000
17/08/2022,17:33:21:800,27174107,2004,76,15.693739,5.367025,3.181607,6.151087,14.699719,32.565667,4.885268,0.850708,1.070312
17/08/2022,17:33:22:802,27175109,2103,76,15.661643,5.469483,3.143559,6.165545,14.778588,32.602211,4.896348,0.852173,1.070312
17/08/2022,17:33:23:807,27176114,2095,77,15.632915,5.487870,3.202185,6.169602,14.859657,32.789645,4.896457,0.846802,1.070312
17/08/2022,17:33:24:806,27177113,1985,77,15.601143,5.513225,3.123310,6.110324,14.746860,32.520613,4.832041,0.826904,0.000000
17/08/2022,17:33:25:806,27178113,1797,76,15.572839,5.457189,3.172609,6.179611,14.809409,32.720520,4.905029,0.812500,1.070312
17/08/2022,17:33:26:815,27179122,1995,75,15.538227,5.316174,3.137684,6.147916,14.601774,32.263977,4.872365,0.836548,0.000000
17/08/2022,17:33:27:827,27180134,1318,74,15.540823,9.188417,0.106842,6.314936,15.610194,33.022618,5.074257,0.716187,0.000000
17/08/2022,17:33:28:853,27181160,1358,65,15.317736,4.247866,0.100684,5.044195,9.392746,22.599067,3.984183,0.705078,0.000000
17/08/2022,17:33:29:822,27182129,2047,73,15.317066,9.374964,0.228837,5.695578,15.299380,32.171238,4.563290,0.940674,0.000000
17/08/2022,17:33:30:805,27183112,643,68,15.244818,7.612583,0.006649,5.618747,13.237980,28.869442,4.505009,0.701538,0.000000
17/08/2022,17:33:31:791,27184098,699,60,14.898916,0.954871,0.002983,4.424179,5.382033,16.253318,3.438480,0.713501,0.000000
17/08/2022,17:33:32:804,27185111,1118,67,14.770430,5.577227,0.091305,5.581684,11.250215,27.261647,4.460276,0.789673,0.000000
17/08/2022,17:33:33:855,27186162,1268,63,14.522460,2.382180,0.103675,5.423746,7.909601,22.323910,4.320964,0.711060,0.000000
