Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:36:50:909,27383216,1441,59,11.494957,2.948054,0.201101,5.237645,8.386799,23.129727,4.165170,1.054443,0.000000
17/08/2022,17:36:51:914,27384221,1611,61,11.442175,4.409365,0.175894,5.489998,10.075257,25.825090,4.399046,0.917236,0.000000
17/08/2022,17:36:52:881,27385188,1559,63,11.555895,8.417148,0.437742,5.752472,14.607363,32.233904,4.611397,0.804077,1.085938
17/08/2022,17:36:53:853,27386160,1766,69,11.650328,7.742376,0.398149,6.149718,14.290243,32.824442,4.967984,1.007935,0.000000
17/08/2022,17:36:54:869,27387176,1636,72,11.874808,12.092119,0.354092,5.670618,18.116829,36.078321,4.540212,1.089355,0.000000
17/08/2022,17:36:55:879,27388186,3027,77,12.122704,12.770900,0.379380,5.563039,18.713319,36.863913,4.412992,1.109619,0.000000
17/08/2022,17:36:56:864,27389171,1342,81,12.291784,10.894926,0.365486,5.545023,16.805436,33.810878,4.429184,0.949463,0.000000
17/08/2022,17:36:57:864,27390171,2783,75,12.416567,10.230088,0.415337,5.197106,15.842531,32.589613,4.107281,1.016968,0.859375
17/08/2022,17:36:58:879,27391186,1811,79,12.647533,12.618896,0.409058,5.855652,18.883606,37.385071,4.691711,1.167725,1.078125
17/08/2022,17:36:59:865,27392172,1353,82,12.773255,10.148657,0.386155,5.577508,16.112320,32.886415,4.455086,0.959229,0.984375
17/08/2022,17:37:00:883,27393190,1195,81,12.882751,9.989379,0.360014,5.536415,15.885809,32.589923,4.417458,1.035522,0.000000
17/08/2022,17:37:01:873,27394180,1673,81,13.007421,10.328298,0.427186,5.552941,16.308426,33.051825,4.431068,1.070557,0.000000
17/08/2022,17:37:02:873,27395180,1242,73,12.992863,7.126055,0.401573,5.067646,12.595274,28.093082,3.987569,1.132690,0.000000
17/08/2022,17:37:03:873,27396180,972,81,13.213303,13.122315,0.410417,5.626271,19.159003,37.461365,4.485046,1.031128,0.000000
17/08/2022,17:37:04:875,27397182,1746,82,13.313213,10.060913,0.361023,5.588867,16.010803,32.738380,4.466919,1.032837,0.000000
17/08/2022,17:37:05:877,27398184,1106,83,13.419903,10.253663,0.371145,5.669752,16.294559,34.188337,4.535485,0.982056,0.000000
17/08/2022,17:37:06:878,27399185,1498,70,13.330636,5.636371,0.412383,4.876660,10.925415,25.236271,3.831631,0.952881,1.078125
17/08/2022,17:37:07:893,27400200,1968,75,13.491244,11.718323,0.412124,5.692733,17.823180,35.549899,4.532699,0.988892,0.000000
17/08/2022,17:37:08:862,27401169,1450,81,13.603036,10.575739,0.398984,5.600442,16.575164,33.532799,4.480462,1.030029,0.000000
17/08/2022,17:37:09:886,27402193,1378,82,13.676426,9.821679,0.399125,5.505081,15.725885,32.119105,4.384758,1.031006,0.000000
17/08/2022,17:37:10:875,27403182,2027,82,13.800028,11.041641,0.376046,5.638480,17.056167,34.477353,4.506767,0.938599,0.000000
17/08/2022,17:37:11:876,27404183,2089,82,13.890998,10.277704,0.385261,5.709931,16.372896,33.528091,4.576219,1.008423,0.000000
17/08/2022,17:37:12:877,27405184,1652,77,13.981116,10.360367,0.402039,5.651901,16.414307,33.376779,4.504041,1.028564,0.000000
17/08/2022,17:37:13:877,27406184,1175,76,14.108758,11.577450,0.416547,5.546863,17.540860,34.839905,4.430520,0.904419,0.000000
