timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
171952737,1350261,2063,62,8.627643,6.677801,0.691942,5.680084,13.079557,30.819587,30.788267,4.52206,0.866089,0.960938
171953732,1351256,1256,58,8.767071,6.716619,0.479169,5.566406,12.532817,29.360498,29.389482,4.213474,0.766968,0.0
171954729,1352253,1147,53,8.712451,2.182147,0.130159,5.065918,7.230831,20.724683,20.724683,3.89571,0.727783,0.0
171955728,1353252,1596,54,8.731317,4.007437,0.258374,5.485026,9.255901,23.727738,23.727738,3.934043,0.76001,0.0
171956743,1354267,1354,53,8.705721,2.774771,0.135917,5.298615,8.019386,22.240587,22.240587,4.070477,0.740845,0.0
171957729,1355253,1738,52,8.634603,1.899048,0.13208,5.212402,6.720337,19.393801,19.393801,3.691486,0.78772,0.0
171958738,1356262,1511,52,8.583623,2.166654,0.147214,5.330404,7.14501,20.447087,20.447087,3.823465,0.835449,0.0
171959734,1357258,1126,49,8.54315,1.943914,0.06257,6.050618,7.44764,22.685922,22.703023,4.392051,0.73584,0.0
172000731,1358255,1297,49,8.479048,1.608712,0.061533,6.233724,6.701598,20.347035,20.329676,4.030772,0.758179,0.0
172001749,1359273,1289,51,8.437561,2.402227,0.143243,5.201067,7.300624,20.52826,20.52826,3.764161,0.739014,0.0
172002731,1360255,798,49,8.385087,2.07246,0.125839,5.083357,6.986276,20.153533,20.153533,3.790541,0.72644,0.0
172003744,1361268,1319,49,8.301901,1.286278,0.090733,5.244373,5.968759,18.317819,18.317819,3.628111,0.755249,0.0
172004744,1362268,1352,48,8.215055,1.264509,0.078386,5.122593,5.863407,18.120211,18.120211,3.571792,0.755737,0.0
172005746,1363270,1323,48,8.127862,1.111645,0.068533,4.745483,5.751123,17.99115,17.99115,3.611867,0.750732,0.0
