Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,16:05:47:186,6241950,1020,41,6.255175,1.078288,0.168190,4.875511,6.121988,19.194526,18.770307,3.916433,0.808838,1.148438
16/08/2022,16:05:48:180,6242944,1298,44,6.309215,2.435852,0.195965,5.120010,7.751827,21.925265,18.884223,4.105475,0.824585,0.000000
16/08/2022,16:05:49:187,6243951,725,43,6.294115,0.982942,0.152557,4.748781,5.884280,18.423907,18.867866,3.779951,0.771973,0.000000
16/08/2022,16:05:50:182,6244946,1307,42,6.275659,0.954825,0.144656,4.681966,5.781446,18.094078,18.840009,3.733206,0.860474,0.000000
16/08/2022,16:05:51:191,6245955,946,42,6.257450,1.026617,0.162311,4.574324,5.763252,17.784295,18.802494,3.624238,1.329956,0.000000
16/08/2022,16:05:52:190,6246954,1097,42,6.252134,0.948560,0.194925,4.966152,6.109637,19.556949,18.829627,3.987772,0.842041,0.000000
16/08/2022,16:05:53:186,6247950,1212,45,6.274243,1.481034,0.195997,5.194770,6.871801,21.266933,18.916587,4.185338,0.851074,1.406250
16/08/2022,16:05:54:197,6248961,898,42,6.284652,1.407665,0.149864,5.009046,6.566575,20.065889,18.957551,4.012465,0.784424,0.000000
16/08/2022,16:05:55:194,6249958,976,43,6.261955,0.961590,0.135775,4.558680,5.656045,17.517271,18.905598,3.611287,0.731201,0.000000
16/08/2022,16:05:56:187,6250951,1078,41,6.249809,0.959727,0.147109,4.814003,5.920839,18.663045,18.896962,3.843929,0.747070,0.000000
16/08/2022,16:05:57:198,6251962,998,42,6.236727,0.917494,0.168538,4.794917,5.880949,18.669751,18.888904,3.829925,0.731934,0.000000
16/08/2022,16:05:58:193,6252957,1398,43,6.260429,1.879774,0.198198,4.815197,6.893169,19.926379,18.926364,3.843825,0.782715,0.000000
