Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,17:33:55:359,2192883,2394,82,11.732757,16.049865,0.338952,7.770538,23.222937,44.239391,44.239391,5.519243,0.907959,0.000000
09/08/2022,17:33:56:369,2193893,2800,85,12.142199,15.718062,0.447694,7.087708,23.090382,44.359843,44.359843,5.587172,0.927246,0.000000
09/08/2022,17:33:57:358,2194882,2656,81,12.485203,14.656473,0.210648,7.113571,21.558599,42.216688,42.216688,5.428322,0.848267,0.000000
09/08/2022,17:33:58:356,2195880,2749,83,12.834811,15.819334,0.036445,6.463799,22.353044,42.727633,42.727633,5.278584,0.959106,0.000000
09/08/2022,17:33:59:360,2196884,2767,87,13.143104,14.944415,0.035987,7.482910,21.473809,41.572839,41.572839,5.271713,0.964600,0.000000
09/08/2022,17:34:00:379,2197903,2550,84,13.460979,15.478516,0.033662,6.708688,22.078204,42.244223,42.244223,5.346595,0.867554,0.000000
09/08/2022,17:34:01:495,2199019,2315,82,13.691220,13.174718,0.036171,7.186322,19.682500,39.021171,39.021171,5.264776,0.905640,0.851562
09/08/2022,17:34:02:322,2199846,2394,88,13.953155,13.666659,0.031294,6.689753,20.229048,40.059371,40.059371,5.304485,0.874634,0.000000
09/08/2022,17:34:03:535,2201059,2308,82,14.155897,14.219609,0.034963,7.374705,20.829566,40.661061,40.661061,5.344714,0.860840,0.000000
09/08/2022,17:34:04:290,2201814,2426,82,14.479454,14.865933,0.033371,7.180985,21.585353,41.684747,41.684747,5.438268,0.900269,0.000000
09/08/2022,17:34:05:494,2203018,2290,82,14.663206,14.662770,0.045138,6.379829,21.344843,41.323226,41.323226,5.407553,0.878784,0.000000
09/08/2022,17:34:06:311,2203835,2154,86,14.942014,14.517384,0.027412,6.824802,21.167187,41.000062,41.000062,5.387873,0.856323,0.000000
09/08/2022,17:34:07:444,2204968,2356,83,15.125471,14.454982,0.035769,6.840859,21.183233,41.148080,41.148080,5.446995,0.942993,0.843750
09/08/2022,17:34:08:362,2205886,2337,82,15.369102,14.418558,0.034916,6.551107,21.161113,41.172095,41.172095,5.456005,0.881348,0.000000
09/08/2022,17:34:09:478,2207002,2169,85,15.561544,14.485813,0.035604,6.937663,21.196764,41.108906,41.064174,5.433928,0.893066,0.000000
09/08/2022,17:34:10:358,2207882,2277,86,15.768908,14.031372,0.037842,6.568316,20.761885,40.763937,40.763937,5.446336,0.913452,0.000000
09/08/2022,17:34:11:478,2209002,2122,85,15.912932,13.595705,0.037555,7.167816,20.358867,40.124553,40.170149,5.475874,0.903198,0.843750
09/08/2022,17:34:12:345,2209869,2295,88,16.125359,14.451137,0.031595,7.223960,21.170582,41.066578,41.066578,5.452165,0.871216,0.000000
09/08/2022,17:34:13:458,2210982,2325,82,16.258174,13.708525,0.037582,8.202164,20.356767,40.303407,40.303407,5.397836,0.898315,0.000000
09/08/2022,17:34:14:361,2211885,2098,85,16.424681,13.790280,0.030545,6.721469,20.499149,40.324496,40.324496,5.431691,0.853271,0.000000
09/08/2022,17:34:15:444,2212968,2235,85,16.548241,13.485742,0.037502,6.733331,20.230505,39.818376,39.818376,5.456015,0.885376,0.000000
09/08/2022,17:34:16:369,2213893,2184,85,16.706196,13.812708,0.032891,6.949530,20.652478,40.554872,40.554872,5.548897,0.862671,0.000000
09/08/2022,17:34:17:444,2214968,2155,86,16.827395,13.502705,0.030417,7.396798,20.288595,40.139448,40.139448,5.490135,0.936157,0.000000
09/08/2022,17:34:18:394,2215918,2272,83,16.955468,13.320029,0.028787,7.013230,20.121237,40.242854,40.205419,5.501706,0.912109,0.000000
09/08/2022,17:34:19:427,2216951,2395,88,17.074820,14.022646,0.040208,6.466139,20.423585,40.002184,40.044336,5.151393,0.856567,0.000000
09/08/2022,17:34:20:428,2217952,2245,79,17.157356,12.678841,0.030607,8.342653,19.284174,38.627167,38.684956,5.351711,0.901855,0.000000
09/08/2022,17:34:21:428,2218952,2070,82,17.252751,13.310626,0.038395,6.951904,19.823103,39.707729,39.648035,5.286252,0.935059,0.000000
09/08/2022,17:34:22:379,2219903,3458,83,17.314319,13.108732,0.038552,7.076263,18.928123,37.352417,37.352417,4.671306,1.204224,0.000000
09/08/2022,17:34:23:461,2220985,2204,83,17.399563,13.711607,0.040450,6.269059,19.707494,38.452855,38.452855,4.802632,0.857666,0.976562
09/08/2022,17:34:24:362,2221886,2392,82,17.455536,12.979438,0.035408,7.186014,18.711308,36.824262,36.824262,4.599893,1.109619,0.000000
09/08/2022,17:34:25:427,2222951,2010,81,17.464831,11.209477,0.032908,6.881019,17.610756,37.520481,37.478838,5.177872,1.023193,0.921875
09/08/2022,17:34:26:410,2223934,1796,81,17.544596,13.545320,0.041700,6.564458,19.553614,38.515875,38.552040,4.835233,1.192993,0.000000
09/08/2022,17:34:27:394,2224918,2918,82,17.622261,13.540833,0.043470,6.083781,19.742283,38.866418,38.866418,4.975638,1.160889,0.000000
09/08/2022,17:34:28:411,2225935,2053,83,17.685187,13.605090,0.035951,5.845812,19.321608,37.459521,37.459521,4.569821,1.073853,0.000000
09/08/2022,17:34:29:395,2226919,2472,96,17.720220,12.250837,0.031831,26.185756,18.355392,36.712857,36.712857,4.926452,0.837036,0.000000
09/08/2022,17:34:30:392,2227916,2390,89,17.789640,13.452300,0.035714,5.920410,19.658359,38.801240,38.801240,4.976670,0.885986,0.000000
09/08/2022,17:34:31:395,2228919,1996,83,17.815830,12.288767,0.039017,6.215052,18.534802,36.977877,36.977877,5.021377,0.807129,0.000000
09/08/2022,17:34:32:373,2229897,2352,88,17.863558,12.982141,0.031815,6.613388,19.103819,37.367390,37.367390,4.924090,0.862305,0.000000
09/08/2022,17:34:33:445,2230969,2395,86,17.912248,12.976569,0.032358,7.137044,19.196318,37.767344,37.767344,5.023812,0.854614,0.000000
09/08/2022,17:34:34:363,2231887,2081,81,17.976176,12.970693,0.037533,6.497043,19.624679,38.778163,38.778163,5.386395,0.901855,0.000000
09/08/2022,17:34:35:434,2232958,2153,83,18.061380,13.983351,0.041729,6.446838,20.597909,40.034004,40.034004,5.373823,0.914795,0.000000
09/08/2022,17:34:36:411,2233935,2428,90,18.162294,14.066608,0.037836,6.373630,20.637172,40.283146,40.283146,5.318616,0.895630,0.000000
09/08/2022,17:34:37:411,2234935,2254,78,18.168730,11.790000,0.032624,7.051268,18.354089,37.310017,37.310017,5.318410,0.904419,0.000000
09/08/2022,17:34:38:404,2235928,2342,81,18.168300,11.642254,0.036137,6.933315,18.191892,37.623928,37.623928,5.285400,0.869141,0.000000
09/08/2022,17:34:39:395,2236919,1455,82,18.083896,9.371427,0.036609,6.288159,15.743260,33.767070,33.767070,5.138184,0.890137,0.000000
09/08/2022,17:34:40:425,2237949,2284,81,17.994761,9.162335,0.038210,6.324705,15.542527,33.621634,33.621634,5.140723,0.958618,0.000000
09/08/2022,17:34:41:378,2238902,2541,76,17.928349,9.952222,0.033527,6.732220,16.173052,35.196130,35.196130,5.009428,0.933594,0.000000
09/08/2022,17:34:42:412,2239936,2025,88,17.919689,11.431826,0.037485,6.859488,17.597031,36.222988,36.222988,4.960891,0.850586,0.000000
09/08/2022,17:34:43:395,2240919,2120,81,17.834159,9.260496,0.032316,6.818880,15.567382,33.995697,33.995697,5.087560,0.917725,0.000000
09/08/2022,17:34:44:477,2242001,1958,81,17.767627,9.939200,0.037113,6.402096,15.880691,33.561264,33.561264,4.769444,0.931030,0.000000
09/08/2022,17:34:45:379,2242903,1953,88,17.912046,15.047029,0.040404,6.787396,21.543290,41.954471,41.954471,5.249532,0.920288,0.000000
