timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
174855742,3093266,2160,87,16.422172,14.544752,0.42347,7.091522,22.056905,43.108991,43.108991,5.727863,0.879883,0.0
174856750,3094274,2199,88,16.546766,12.689166,0.279719,6.889878,19.851638,39.669675,39.669675,5.560009,0.908081,0.0
174857746,3095270,2186,89,16.680048,13.045436,0.16229,7.760184,20.170093,40.315416,40.27546,5.631038,0.896362,0.0
174858743,3096267,2293,90,16.816821,12.646957,0.622099,7.537842,20.477357,41.400833,41.442442,5.785165,0.90564,0.0
174859758,3097282,2462,89,16.866488,11.029792,0.289715,7.568359,18.14669,37.831022,37.831022,5.488761,0.936035,0.0
174900737,3098261,2426,92,16.915003,11.155992,0.258559,6.999969,18.153224,37.682564,37.682564,5.412525,0.926758,0.0
174901750,3099274,2456,89,16.984452,11.724518,0.306,6.864421,18.859229,38.590927,38.590927,5.479122,0.845215,1.070312
174902746,3100270,2477,95,17.037907,11.37044,0.301205,6.692069,18.437138,38.088468,38.088468,5.42996,0.925415,0.0
174903739,3101263,2044,81,17.063344,10.483503,0.381004,7.080078,17.710513,37.254671,37.254671,5.490103,0.858032,0.0
174904753,3102277,2176,83,17.14516,11.882883,0.53095,5.671239,19.374258,39.519434,39.519434,5.568521,0.859863,0.0
174905747,3103271,1902,84,17.182791,11.001251,0.287991,7.124837,18.091909,37.650264,37.650264,5.462496,0.956665,1.070312
174906762,3104286,1880,84,17.234873,11.604527,0.246694,7.728577,18.587198,38.340271,38.340271,5.423121,0.849243,0.0
174907745,3105269,1887,87,17.266339,10.926027,0.286829,6.243933,18.018336,37.662303,37.662303,5.464781,0.972656,0.0
174908755,3106279,1697,83,17.294407,10.969493,0.339477,7.405599,18.016153,37.417032,37.417032,5.397447,0.854004,0.0
174909745,3107269,2224,89,17.416663,12.875532,0.576457,8.516439,20.594453,41.468615,41.468615,5.716738,0.858398,0.0
