Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:03:53:642,4961265,2039,71,13.379541,4.261646,0.071663,6.197961,10.531271,16.910216,27.250545,5.067477,0.847046,0.000000
18/08/2022,12:03:54:634,4962257,1993,79,13.398231,7.286403,0.267903,6.342349,13.896656,18.444765,32.639469,5.160694,0.854370,1.015625
18/08/2022,12:03:55:654,4963277,3750,80,13.517604,10.546473,0.336790,5.850736,16.733998,18.383605,34.391895,4.694785,1.250122,0.000000
18/08/2022,12:03:56:647,4964270,1781,80,13.587656,9.159741,0.294671,6.003300,15.457712,18.277855,33.328669,4.863106,1.123291,0.000000
18/08/2022,12:03:57:663,4965286,2295,79,13.750753,11.025543,0.265408,6.895618,18.186569,18.274621,38.535389,5.596157,1.102173,0.000000
18/08/2022,12:03:58:645,4966268,1864,77,13.768553,7.423401,0.156973,6.660942,14.241316,18.128269,32.993793,5.424387,1.009888,0.921875
18/08/2022,12:03:59:655,4967278,1634,75,13.820542,8.530517,0.197076,6.521821,15.249413,18.027098,33.237158,5.258792,0.856934,0.000000
18/08/2022,12:04:00:653,4968276,2282,77,13.884900,8.775889,0.171926,6.656921,15.604736,17.939807,34.434354,5.441505,0.786987,0.000000
18/08/2022,12:04:01:645,4969268,1952,82,13.970418,9.244714,0.162291,6.879587,16.286592,17.880940,36.456989,5.633258,1.020264,0.000000
18/08/2022,12:04:02:652,4970275,2373,82,14.088122,10.114301,0.270905,6.907494,17.292700,17.860100,37.946191,5.639870,1.004028,0.000000
18/08/2022,12:04:03:642,4971265,1247,71,14.026009,5.518994,0.268458,6.577037,12.364489,17.662061,29.088338,5.330161,0.798462,0.921875
18/08/2022,12:04:04:652,4972275,1265,67,13.822990,2.342972,0.126143,5.809140,8.278256,17.330612,23.746679,4.691023,0.744751,0.000000
18/08/2022,12:04:05:658,4973281,1426,65,13.613767,2.665363,0.191989,5.165387,8.022739,16.994864,21.194776,4.073536,0.712891,0.000000
18/08/2022,12:04:06:658,4974281,1389,64,13.378204,2.027946,0.128751,4.894109,7.050806,16.637943,19.859677,3.926232,1.158813,0.000000
18/08/2022,12:04:07:654,4975277,1410,65,13.253213,3.467613,0.136263,6.281565,9.885442,16.396300,26.628906,5.144287,0.926025,0.000000
18/08/2022,12:04:08:661,4976284,998,63,13.087615,2.395798,0.126478,6.080252,8.602529,16.118786,24.953135,4.963906,0.731567,0.000000
18/08/2022,12:04:09:655,4977278,1197,61,12.889483,1.681285,0.118797,5.778399,7.578481,15.811640,22.922004,4.695646,0.715332,0.000000
18/08/2022,12:04:10:664,4978287,1017,60,12.701010,1.882265,0.114395,5.583734,7.580394,15.519431,22.258306,4.498610,0.730713,0.000000
18/08/2022,12:04:11:656,4979279,1662,59,12.504623,1.644858,0.114191,5.481345,7.240394,15.259560,21.457430,4.392775,0.714233,0.000000
18/08/2022,12:04:12:661,4980284,1198,0,12.477458,5.982305,0.114640,5.642457,11.739402,15.134720,27.911917,4.605302,0.726440,0.000000
18/08/2022,12:04:13:655,4981278,1134,61,12.321080,2.810110,0.114046,5.192183,8.116338,14.913528,21.547171,4.129843,0.713867,0.000000
18/08/2022,12:04:14:663,4982286,928,60,12.137439,1.601820,0.115261,5.436190,7.153271,14.566105,21.387014,4.349723,0.745728,0.906250
18/08/2022,12:04:15:656,4983279,1714,59,11.933764,1.505493,0.115761,4.847319,6.468573,14.323216,18.823206,3.824467,0.719238,0.000000
18/08/2022,12:04:16:667,4984290,1367,57,11.735606,1.435680,0.111549,4.793345,6.340573,14.040688,18.702845,3.816112,0.722900,0.000000
18/08/2022,12:04:17:656,4985279,1121,60,11.596182,2.385749,0.113852,5.370792,7.870393,13.818116,22.469872,4.340311,0.771118,0.906250
18/08/2022,12:04:18:667,4986290,898,58,11.420656,1.637623,0.109900,4.899285,6.646808,13.563791,19.084049,3.853353,0.717041,0.000000
18/08/2022,12:04:19:663,4987286,1555,57,11.240005,1.465750,0.112341,4.834407,6.412499,13.305834,19.728073,3.863102,1.028198,0.937500
18/08/2022,12:04:20:665,4988288,1178,58,11.103319,2.300216,0.112020,4.985212,7.397449,13.092845,19.711899,3.935019,0.723633,0.000000
18/08/2022,12:04:21:660,4989283,1667,55,10.932977,1.492194,0.110241,4.736066,6.338501,12.749151,18.399215,3.729710,0.875244,0.906250
18/08/2022,12:04:22:667,4990290,1403,57,10.826470,2.392713,0.113666,5.429419,7.935798,12.597581,22.977403,4.394900,0.765259,0.000000
18/08/2022,12:04:23:674,4991297,998,57,10.681912,1.809922,0.114017,4.887026,6.810966,12.389470,19.209406,3.850670,0.731689,0.000000
18/08/2022,12:04:24:665,4992288,1115,55,10.524142,1.441084,0.112615,4.741347,6.295046,12.268644,18.608981,3.754968,0.742310,0.000000
18/08/2022,12:04:25:675,4993298,1474,55,10.375693,1.451048,0.112647,4.766144,6.329839,12.058665,18.594517,3.765371,0.734009,0.000000
18/08/2022,12:04:26:670,4994293,1049,55,10.253720,2.071271,0.107762,4.818578,6.997611,11.875925,19.684775,3.826523,0.736084,0.000000
18/08/2022,12:04:27:680,4995303,1696,57,10.162843,2.234722,0.116421,5.342664,7.693807,11.727460,22.172981,4.339931,0.799683,0.000000
18/08/2022,12:04:28:671,4996294,1395,55,10.072944,2.213054,0.113360,5.341695,7.668109,11.487168,21.667178,4.231469,0.734009,0.000000
18/08/2022,12:04:29:680,4997303,1033,55,9.935542,1.363427,0.112576,4.710827,6.186830,11.299953,18.441917,3.739219,0.740723,0.000000
18/08/2022,12:04:30:673,4998296,1875,55,9.813324,1.550051,0.113852,4.883417,6.547320,11.207088,19.052396,3.842614,0.729370,0.000000
18/08/2022,12:04:31:681,4999304,1296,54,9.687151,1.318458,0.110404,4.830285,6.259146,11.621767,19.110909,3.863957,0.751953,0.906250
18/08/2022,12:04:32:676,5000299,4007,58,9.667511,3.688354,0.116130,5.336592,9.141076,11.532639,24.009077,4.326661,0.751953,0.000000
18/08/2022,12:04:33:683,5001306,839,54,9.563629,1.701026,0.113989,4.935032,6.750048,11.384814,19.587199,3.888663,0.733887,0.000000
18/08/2022,12:04:34:676,5002299,1425,54,9.485089,2.304943,0.116665,4.953859,7.375466,11.517290,20.388230,3.934523,0.714355,0.000000
18/08/2022,12:04:35:680,5003303,1298,53,9.374092,1.437089,0.113167,4.808157,6.358413,11.435605,18.850090,3.823763,0.732910,0.000000
18/08/2022,12:04:36:676,5004299,1397,53,9.264436,1.462594,0.113620,4.739737,6.315952,11.252212,18.631391,3.745312,0.723511,0.000000
18/08/2022,12:04:37:686,5005309,1497,55,9.223657,2.520519,0.112511,5.485014,8.118043,11.140725,23.046900,4.450914,0.733398,0.000000
18/08/2022,12:04:38:677,5006300,1358,52,9.123918,1.518506,0.111918,4.828183,6.458607,10.971835,18.656372,3.779699,0.826782,0.000000
18/08/2022,12:04:39:684,5007307,1364,53,9.021393,1.392303,0.111549,4.726225,6.230077,10.803841,18.365238,3.737556,0.780640,0.000000
18/08/2022,12:04:40:681,5008304,1261,53,8.923610,1.478798,0.112970,4.708019,6.299787,10.642017,18.469795,3.724295,0.852051,0.945312
18/08/2022,12:04:41:690,5009313,1858,52,8.824544,1.398054,0.110928,4.632428,6.141410,10.481763,18.029369,3.651029,0.842896,0.000000
18/08/2022,12:04:42:686,5010309,1066,60,8.786917,2.403828,0.111221,5.263267,7.778315,10.384535,22.692811,4.279410,0.966797,0.000000
18/08/2022,12:04:43:680,5011303,1209,53,8.759133,2.285061,0.109729,5.613401,8.008191,10.299751,22.114111,4.463786,1.041138,0.000000
18/08/2022,12:04:44:689,5012312,1297,53,8.669808,1.499203,0.114817,4.626379,6.240399,10.155789,18.058240,3.632451,0.724243,0.000000
18/08/2022,12:04:45:682,5013305,1000,52,8.580175,1.422561,0.109791,4.650105,6.182456,10.012465,18.210517,3.676278,0.765625,0.914062
18/08/2022,12:04:46:693,5014316,1206,52,8.495933,1.466934,0.112912,4.624944,6.204790,9.877565,18.094836,3.638346,0.732056,0.000000
18/08/2022,12:04:47:681,5015304,1697,54,8.491771,2.973879,0.111264,5.295509,8.380652,9.823515,23.308420,4.313252,0.744385,0.000000
18/08/2022,12:04:48:686,5016309,1158,51,8.416711,1.513709,0.115522,4.735352,6.364583,9.701464,18.277810,3.694723,0.719971,0.000000
18/08/2022,12:04:49:694,5017317,1332,52,8.335583,1.358381,0.112293,4.685739,6.156413,9.574222,18.405903,3.717607,0.756470,0.914062
18/08/2022,12:04:50:688,5018311,1291,52,8.265977,1.520127,0.111413,4.770551,6.402091,9.459912,18.801490,3.760528,0.723877,0.000000
18/08/2022,12:04:51:694,5019317,1416,52,8.197203,1.553292,0.110146,4.663298,6.326737,9.348797,18.816451,3.714609,0.794678,0.000000
18/08/2022,12:04:52:685,5020308,1797,53,8.215625,3.189299,0.114244,5.406386,8.709929,9.325866,23.414118,4.325358,0.799683,0.000000
18/08/2022,12:04:53:695,5021318,1678,53,8.149639,1.505431,0.108582,4.737215,6.351228,9.196566,18.489895,3.730843,0.717651,0.000000
18/08/2022,12:04:54:686,5022309,1158,51,8.085117,1.442325,0.112109,4.808269,6.362704,9.094344,18.907241,3.818531,0.718384,0.000000
18/08/2022,12:04:55:699,5023322,1400,51,8.017905,1.413118,0.111774,4.659264,6.184156,8.962568,18.175987,3.672949,0.752808,0.914062
18/08/2022,12:04:56:691,5024314,1904,51,7.949171,1.348618,0.111285,4.658148,6.118051,8.909919,18.144252,3.675305,0.729614,0.000000
18/08/2022,12:04:57:696,5025319,1165,52,7.942181,2.293669,0.113965,5.344630,7.752264,8.868864,22.309427,4.315019,0.851074,0.000000
18/08/2022,12:04:58:691,5026314,1073,53,7.960613,2.999364,0.112760,5.344623,8.456746,8.854101,23.125839,4.297008,0.741821,0.000000
18/08/2022,12:04:59:699,5027322,1194,51,7.922263,1.844829,0.113745,4.924992,6.883566,8.783866,19.650250,3.877206,0.754883,0.000000
18/08/2022,12:05:00:696,5028319,1497,51,7.858977,1.369226,0.115154,4.676466,6.160846,8.689718,18.226805,3.681728,0.719482,0.000000
18/08/2022,12:05:01:701,5029324,1783,51,7.826057,1.929457,0.111245,4.893736,6.934439,8.627155,19.906032,3.890762,0.722412,0.000000
18/08/2022,12:05:02:695,5030318,1222,51,7.771306,1.455734,0.112900,4.733534,6.302168,8.543704,18.890442,3.788305,0.777832,0.914062
18/08/2022,12:05:03:706,5031329,1504,53,7.765101,2.585850,0.110330,4.900146,7.596326,8.510072,20.705731,3.878959,0.747803,0.000000
18/08/2022,12:05:04:703,5032326,1220,52,7.743599,1.929506,0.113274,5.128007,7.170786,8.461667,20.946650,4.093939,0.751587,0.000000
18/08/2022,12:05:05:694,5033317,1432,53,7.774048,3.097105,0.112204,5.390274,8.599584,8.466573,23.493142,4.337422,0.756104,0.000000
18/08/2022,12:05:06:720,5034343,1408,51,7.749399,1.989216,0.113633,4.974766,7.077615,8.417414,20.115585,3.932514,0.734009,0.000000
18/08/2022,12:05:07:694,5035317,1183,53,7.777374,2.952196,0.111709,5.449695,8.513600,8.420935,23.936241,4.414856,0.830688,0.000000
18/08/2022,12:05:08:718,5036341,1232,53,7.797568,2.784847,0.114229,5.459416,8.358492,8.418765,22.859922,4.400046,0.787720,0.000000
18/08/2022,12:05:09:696,5037319,1719,53,7.785524,2.364250,0.111243,4.993402,7.468895,8.383959,20.605624,3.951446,0.771606,0.914062
18/08/2022,12:05:10:721,5038344,1298,49,7.733238,1.399690,0.109963,4.778903,6.288556,8.310769,18.628454,3.781806,0.723389,0.000000
18/08/2022,12:05:11:701,5039324,982,49,7.687237,1.497860,0.107853,4.872164,6.477876,8.243607,19.222088,3.880967,0.732300,0.000000
18/08/2022,12:05:12:709,5040332,1346,52,7.686326,2.193026,0.106048,5.362054,7.661128,8.223241,22.232134,4.338484,0.915771,0.914062
18/08/2022,12:05:13:716,5041339,1040,52,7.676118,2.150506,0.107976,5.144574,7.403056,8.193685,21.003913,4.096750,0.750488,0.000000
18/08/2022,12:05:14:705,5042328,1219,49,7.622955,1.351267,0.108480,4.738173,6.197920,8.121980,18.419188,3.734940,0.723022,0.000000
18/08/2022,12:05:15:708,5043331,1008,49,7.579693,1.466633,0.103680,4.827825,6.398138,8.061030,18.935725,3.826373,0.766968,0.914062
