timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
170857265,694789,1387,43,7.653608,1.365196,0.035741,4.854329,5.334803,16.309509,16.325609,3.063917,0.845703,1.101562
170858263,695787,1197,55,7.899109,9.399477,0.207583,5.211467,14.774492,31.464869,31.464869,4.106171,0.741089,0.0
170859288,696812,2231,70,8.225661,10.785669,0.339787,6.901042,16.906428,35.502646,35.502646,4.659322,1.056152,0.0
170900265,697789,2480,73,8.800024,16.944991,0.5582,6.656901,23.938593,45.318216,45.274047,5.160445,0.846313,0.0
170901282,698806,2352,75,9.261492,14.212109,0.991361,6.389618,22.048744,43.651319,43.696044,5.467024,1.244995,0.0
170902259,699783,2190,69,9.590783,11.560705,0.789555,6.088257,18.38835,38.005378,38.005378,4.780247,1.259399,0.0
170903270,700794,1967,62,9.730848,7.168078,0.82537,6.311035,13.564841,31.033132,31.033132,4.408712,1.315308,0.0
170904266,701790,1915,61,9.875091,7.397816,0.80798,5.615234,13.749824,31.150991,31.150991,4.361508,0.856689,1.210938
170905277,702801,2174,63,10.073733,8.6683,0.852001,7.348633,15.463506,34.308996,34.379907,4.727679,1.10144,0.0
170906275,703799,2064,59,10.155495,5.593991,0.816047,6.799316,12.260659,30.054929,30.027849,4.650131,1.286255,0.0
170907267,704791,1869,61,10.265376,6.676513,0.77767,5.741374,13.195527,31.035704,30.992466,4.521193,1.100708,0.0
170908280,705804,2137,62,10.388089,6.826504,0.802578,6.534831,13.597346,32.672409,32.672409,4.75945,0.987915,1.101562
170909254,706778,2204,66,10.611284,9.694937,0.850032,6.188965,16.534173,35.865137,35.865137,4.745513,1.253906,0.0
170910277,707801,2380,63,10.709878,7.006887,0.811978,5.83903,13.417869,30.909168,30.909168,4.414271,0.895264,0.0
170911277,708801,2231,61,10.788094,6.501972,0.825581,5.878448,12.805746,29.61816,29.61816,4.305216,1.202271,0.0
170912270,709794,2233,64,10.94483,8.670276,0.871223,6.862095,15.094831,32.9646,32.9646,4.369812,1.240356,0.0
170913285,710809,1974,61,10.995533,5.958004,0.884667,7.088797,12.340012,29.278989,29.278989,4.343156,1.131958,0.921875
170914266,711790,2136,64,11.112866,7.515564,0.890076,6.795247,14.186462,32.421274,32.421274,4.577577,0.845703,1.210938
170915279,712803,2279,67,11.29901,10.103593,0.508121,5.756378,16.42547,34.889587,34.889587,4.606228,0.906128,0.0
170916280,713804,2115,70,11.591872,11.224231,1.473834,6.831868,19.362211,40.081661,40.081661,5.29114,0.88501,1.398438
170917283,714807,2265,71,11.86283,11.979187,0.915465,5.965169,19.140563,38.840027,38.840027,4.969482,1.033325,0.0
170918262,715786,2945,81,12.232368,14.59846,0.92708,6.286621,22.177198,43.084066,43.084066,5.299481,0.969971,0.0
170919275,716799,2251,76,12.496483,12.572672,0.574326,6.004333,19.870299,40.547523,40.561252,5.408462,0.873169,0.0
170920276,717800,2002,71,12.573142,8.422974,0.266792,6.131999,14.576505,32.116241,32.094601,4.714423,0.975342,0.90625
170921272,718796,1897,69,12.664574,9.007178,0.259012,6.492615,15.08473,32.930725,32.930725,4.673732,0.924316,0.0
170922285,719809,1297,59,12.482536,2.198636,0.263136,5.062103,7.538838,20.939532,20.929855,4.009691,0.746338,0.0
170923268,720792,1416,60,12.405584,4.65716,0.250446,5.53894,10.244785,25.367006,25.380915,4.235828,1.010864,0.90625
170924280,721804,950,58,12.285696,3.574466,0.248302,5.814616,9.006532,23.398423,23.374668,4.116489,0.746338,0.9375
170925279,722803,1649,58,12.143011,2.917689,0.245794,6.17763,8.266437,22.20377,22.225732,4.037005,0.843384,0.0
