Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-Psys EWMA Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
16/08/2022,17:00:37:505,9532269,1173,39,4.474626,2.216844,0.065306,4.242962,6.525112,18.167190,14.258108,3.321521,1.308594,0.000000
16/08/2022,17:00:38:486,9533250,1580,41,4.599666,2.922944,0.114646,4.687863,7.725453,21.033497,14.518719,3.713916,1.032959,0.000000
16/08/2022,17:00:39:471,9534235,1286,40,4.692271,2.283073,0.158395,4.782611,7.224079,20.725575,14.737732,3.797908,0.878906,0.000000
16/08/2022,17:00:40:512,9535276,1830,53,5.007580,8.219735,0.217000,5.301304,13.738038,30.347980,15.281861,4.256514,1.001099,0.000000
16/08/2022,17:00:41:531,9536295,1578,55,5.465972,11.697956,0.099519,5.539558,17.337033,35.502370,16.034353,4.449299,0.977539,0.953125
16/08/2022,17:00:42:483,9537247,2278,57,5.861095,10.931283,0.081879,5.299321,16.312483,33.329208,16.663762,4.287196,1.043701,0.000000
16/08/2022,17:00:43:476,9538240,2410,72,6.503571,17.813088,0.444896,6.519338,24.777321,46.061070,17.662220,5.280022,0.826782,1.093750
16/08/2022,17:00:44:472,9539236,2409,70,6.997810,14.460169,0.354041,5.625622,20.439832,39.732965,18.444943,4.509840,0.854370,0.000000
16/08/2022,17:00:45:460,9540224,1796,58,7.315164,10.571571,0.366456,4.972437,15.910463,32.125490,18.932069,3.928939,1.028687,0.000000
16/08/2022,17:00:46:469,9541233,2111,63,7.601093,9.635091,0.362566,5.428963,15.426620,33.692951,19.452917,4.326385,0.783325,0.000000
16/08/2022,17:00:47:485,9542249,2216,69,8.047557,14.063371,0.324049,5.590897,19.978317,39.483401,20.175445,4.489408,1.104858,0.000000
16/08/2022,17:00:48:454,9543218,1135,58,8.241846,7.228649,0.390373,5.772439,13.391461,30.221105,20.540318,4.642869,1.098633,0.000000
16/08/2022,17:00:49:470,9544234,2142,76,8.646221,13.614568,0.298921,6.049367,19.962856,40.557735,21.230919,4.913551,1.089600,0.000000
16/08/2022,17:00:50:453,9545217,1891,78,9.023798,12.532012,0.381155,6.128482,19.041648,39.299499,21.887195,4.939166,1.006104,0.000000
16/08/2022,17:00:51:482,9546246,2501,65,9.340258,11.955129,0.428736,5.654041,18.037907,36.036137,22.383924,4.535539,0.972290,0.000000
16/08/2022,17:00:52:464,9547228,1682,70,9.741887,14.041826,0.402844,5.834913,20.279584,39.788925,23.022936,4.699054,0.930176,0.000000
16/08/2022,17:00:53:464,9548228,1561,63,9.984132,10.517792,0.467605,5.656649,16.642046,34.158452,23.413873,4.515856,0.942871,0.000000
16/08/2022,17:00:54:466,9549230,1982,62,10.210481,10.118713,0.363708,5.839478,16.321899,35.319275,23.839066,4.707397,1.012573,0.000000
16/08/2022,17:00:55:465,9550229,1962,67,10.529638,12.910246,0.355845,5.871875,19.137967,37.939782,24.343166,4.691780,1.026611,0.000000
16/08/2022,17:00:56:466,9551230,2164,80,10.815705,12.694458,0.313904,5.531128,18.539490,36.592957,24.780659,4.419189,1.009766,0.000000
16/08/2022,17:00:57:467,9552231,1753,67,11.055894,11.228760,0.473755,5.838501,17.541016,35.996291,25.181618,4.661476,0.960327,0.000000
16/08/2022,17:00:58:469,9553233,2581,69,11.293255,11.279748,0.848645,5.560351,17.688744,35.956658,25.566825,4.432274,1.081543,0.000000
16/08/2022,17:00:59:470,9554234,2337,70,11.554881,11.909843,0.692545,6.009067,18.611454,37.879906,26.007018,4.827326,0.990601,0.000000
16/08/2022,17:01:00:485,9555249,1531,70,11.761778,11.359063,0.322980,5.660172,17.342216,35.367619,26.341994,4.513251,1.005005,0.000000
16/08/2022,17:01:01:454,9556218,1449,70,11.980359,11.788685,0.358213,5.644700,17.791598,35.894932,26.687947,4.507813,0.963501,0.000000
16/08/2022,17:01:02:486,9557250,1569,64,12.067323,8.539190,0.406334,5.547711,14.493236,31.162510,26.842798,4.415821,0.908203,0.000000
16/08/2022,17:01:03:455,9558219,1524,67,12.261478,11.356679,0.367690,5.610740,17.335108,35.353845,27.156491,4.485670,0.937500,0.000000
16/08/2022,17:01:04:471,9559235,1847,66,12.389403,9.766632,0.409754,5.777764,15.954149,33.426942,27.373718,4.605449,0.989502,0.000000
16/08/2022,17:01:05:471,9560235,2558,70,12.613320,12.406914,0.439814,5.719686,18.566413,36.867519,27.717868,4.570060,0.967651,0.000000
16/08/2022,17:01:06:471,9561235,3201,75,12.798704,11.714172,0.387146,5.702759,17.804077,35.913123,28.010848,4.553735,1.063232,0.000000
16/08/2022,17:01:07:472,9562236,1946,70,12.992669,12.277649,0.392822,5.559265,18.229736,35.939087,28.294000,4.421936,0.982666,0.000000
16/08/2022,17:01:08:472,9563236,2147,81,13.150526,11.384429,0.358711,5.665111,17.408251,35.047668,28.535202,4.531799,1.018799,0.000000
16/08/2022,17:01:09:472,9564236,2303,80,13.315683,11.695068,0.348267,5.731567,17.774902,35.609314,28.787849,4.583252,0.979858,0.000000
16/08/2022,17:01:10:473,9565237,1979,70,13.452736,11.115349,0.368345,5.665660,17.149355,34.523643,28.992904,4.530930,1.020508,0.000000
16/08/2022,17:01:11:474,9566238,1899,70,13.600835,11.702942,0.379333,5.517212,17.599487,34.880371,29.203170,4.391724,1.010986,0.000000
16/08/2022,17:01:12:479,9567243,1851,79,13.745009,11.266469,0.364993,5.998196,17.629658,35.889890,29.442459,4.820559,0.978638,0.000000
16/08/2022,17:01:13:463,9568227,2461,81,13.890268,11.642091,0.382990,5.770983,17.796064,35.641674,29.664745,4.615996,0.859741,1.085938
16/08/2022,17:01:14:479,9569243,1812,77,13.988952,10.734256,0.372407,5.588837,16.695501,33.900227,29.813744,4.453460,1.122803,0.000000
16/08/2022,17:01:15:465,9570229,1523,79,14.134503,11.919457,0.443947,5.636801,18.000205,35.849504,30.032755,4.493894,0.927124,1.085938
16/08/2022,17:01:16:481,9571245,2167,76,14.311091,12.561283,0.849411,5.743563,19.154257,37.773884,30.305077,4.588542,0.979492,0.000000
16/08/2022,17:01:17:466,9572230,1785,67,14.307358,7.788831,0.658050,5.761334,14.208215,31.061728,30.332533,4.607193,1.035889,0.000000
16/08/2022,17:01:18:482,9573246,2082,76,14.417947,11.544496,0.371596,5.531729,17.447822,35.065069,30.499186,4.394160,1.011597,0.000000
16/08/2022,17:01:19:467,9574231,1920,69,14.433930,8.890988,0.373908,5.593947,14.858843,31.697331,30.542619,4.451056,0.935547,0.000000
16/08/2022,17:01:20:484,9575248,2278,73,14.592126,12.810443,0.401407,5.719025,18.930875,37.549386,30.789107,4.572122,1.051758,0.000000
16/08/2022,17:01:21:469,9576233,1847,0,14.616024,9.141410,0.401440,5.707237,15.250087,32.349893,30.845797,4.580337,1.074707,0.000000
16/08/2022,17:01:22:485,9577249,2215,69,14.666714,9.923201,0.427742,5.706013,16.056955,33.183916,30.928048,4.558738,0.983643,0.000000
16/08/2022,17:01:23:470,9578234,2088,69,14.750013,10.818286,0.461215,5.680591,16.960092,34.404263,31.054309,4.552971,1.005615,0.000000
16/08/2022,17:01:24:471,9579235,2230,70,14.810951,10.334356,0.424207,5.725457,16.484020,33.751697,31.149103,4.558098,0.989502,0.000000
16/08/2022,17:01:25:486,9580250,1611,64,14.717882,6.292597,0.382430,5.532614,12.207641,28.215193,31.044216,4.427213,1.088013,0.000000
16/08/2022,17:01:26:470,9581234,2052,70,14.724424,9.422002,0.366031,5.110132,14.898165,31.177250,31.049043,4.031264,1.009521,0.000000
16/08/2022,17:01:27:486,9582250,1999,75,14.876688,12.855444,0.377574,5.828516,19.061534,37.935926,31.290822,4.646673,0.987671,0.000000
16/08/2022,17:01:28:484,9583248,2156,81,14.992298,11.890261,0.430610,5.741930,18.062802,35.745756,31.452473,4.587919,0.975342,0.000000
16/08/2022,17:01:29:469,9584233,2009,72,15.078222,11.224237,0.470319,5.706023,17.400579,34.847042,31.573586,4.563829,0.988647,1.078125
16/08/2022,17:01:30:485,9585249,2343,79,15.230701,13.223788,0.529468,5.663802,19.417057,37.749562,31.790627,4.512074,1.067017,0.000000
16/08/2022,17:01:31:469,9586233,2238,80,15.274940,10.133878,0.543069,5.772929,16.449876,33.690806,31.859577,4.616264,1.062744,0.000000
16/08/2022,17:01:32:485,9587249,2263,77,15.367880,11.628810,0.478915,5.811862,17.919587,35.838864,31.999420,4.653372,0.828735,1.078125
16/08/2022,17:01:33:469,9588233,2978,72,15.381166,9.539206,0.545712,5.649116,15.734034,32.590911,32.020883,4.510714,1.046387,0.000000
16/08/2022,17:01:34:485,9589249,2394,72,15.409055,9.991424,0.512262,5.670259,16.173945,33.486923,32.072456,4.528499,1.053589,0.000000
16/08/2022,17:01:35:470,9590234,1869,72,15.387365,8.482265,0.600439,5.728594,14.811298,31.787181,32.062105,4.564420,0.980225,0.000000
16/08/2022,17:01:36:495,9591259,2544,71,15.416569,9.874670,0.589820,5.753866,16.218356,33.371964,32.108137,4.602696,0.850464,0.000000
16/08/2022,17:01:37:464,9592228,2869,0,15.515823,12.007253,0.500488,5.620177,18.127918,35.830314,32.244528,4.469368,0.799805,1.078125
16/08/2022,17:01:38:496,9593260,3485,81,15.626147,12.278575,0.572850,5.848993,18.700417,37.188110,32.415611,4.689881,0.968140,0.000000
16/08/2022,17:01:39:465,9594229,2517,82,15.692537,11.125093,0.518296,5.785789,17.429178,34.973441,32.509794,4.627246,0.855713,1.078125
16/08/2022,17:01:40:481,9595245,2716,72,15.742461,10.976691,0.401358,5.757083,17.135132,34.639939,32.583512,4.597667,0.978516,0.000000
16/08/2022,17:01:41:481,9596245,2269,68,15.704819,8.825107,0.424122,5.455858,14.705087,31.054339,32.528025,4.342447,1.075684,0.000000
16/08/2022,17:01:42:491,9597255,2645,71,15.713384,9.795532,0.406433,5.742676,15.944641,32.999451,32.544862,4.589294,0.960938,0.000000
16/08/2022,17:01:43:477,9598241,2463,71,15.749463,10.609723,0.362102,5.741777,16.713601,34.037131,32.598690,4.594376,0.981445,0.000000
16/08/2022,17:01:44:477,9599241,2763,70,15.742506,9.442454,0.400964,5.708673,15.552092,32.465570,32.593998,4.572875,0.986572,0.000000
16/08/2022,17:01:45:477,9600241,2692,78,15.786996,10.993225,0.367432,5.627563,16.988220,34.205017,32.651534,4.485535,1.008667,0.000000
16/08/2022,17:01:46:478,9601242,2429,83,15.823652,10.662903,0.387451,5.763000,16.813354,34.138550,32.704642,4.609741,0.950562,0.000000
16/08/2022,17:01:47:479,9602243,1989,78,15.799375,9.039917,0.381714,5.722290,15.143921,31.943909,32.677473,4.575073,0.999268,0.929688
16/08/2022,17:01:48:479,9603243,2164,71,15.774153,8.866988,0.355358,5.871509,15.093854,32.259001,32.662512,4.698670,0.908936,0.000000
16/08/2022,17:01:49:480,9604244,2857,78,15.742633,8.951416,0.408630,5.531555,14.891602,31.236572,32.611586,4.405151,0.953979,0.898438
16/08/2022,17:01:50:480,9605244,2698,78,15.716471,9.037654,0.368406,5.604747,15.010807,31.677246,32.578183,4.474895,0.956543,0.000000
16/08/2022,17:01:51:481,9606245,2493,70,15.697143,9.168945,0.383484,5.622864,15.175293,31.758464,32.548878,4.473554,0.936523,0.000000
16/08/2022,17:01:52:496,9607260,2497,70,15.671870,9.158810,0.387369,5.444019,14.990198,31.281738,32.503623,4.333496,0.991455,0.000000
16/08/2022,17:01:53:481,9608245,2797,78,15.649384,9.066096,0.384912,5.600562,15.051570,31.707433,32.474761,4.469577,0.893433,0.000000
16/08/2022,17:01:54:483,9609247,2305,76,15.631133,9.152671,0.371540,5.606373,15.130584,31.759535,32.449601,4.464861,1.046387,0.000000
16/08/2022,17:01:55:483,9610247,2302,76,15.621209,9.304328,0.423713,5.625772,15.353814,32.073853,32.436154,4.485170,1.056519,0.000000
16/08/2022,17:01:56:483,9611247,2301,78,15.601543,9.247986,0.383545,5.439026,15.070557,31.357971,32.397648,4.321655,0.958130,0.000000
16/08/2022,17:01:57:484,9612248,2043,75,15.504241,7.255074,0.376150,5.248597,12.879820,28.613964,32.262381,4.148439,1.061890,0.000000
16/08/2022,17:01:58:493,9613257,2439,73,15.556002,10.890137,0.404846,5.658569,16.953552,34.506775,32.342538,4.515259,0.981201,0.000000
