Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,17:44:43:665,2841189,1876,88,18.559853,12.486549,0.561812,6.076659,20.392462,40.953550,40.953550,5.897987,0.896851,0.000000
09/08/2022,17:44:44:699,2842223,1564,83,18.545150,10.944214,0.199314,6.884833,18.158434,37.379274,37.379274,5.651722,0.861084,0.000000
09/08/2022,17:44:45:703,2843227,1894,86,18.581871,11.813627,0.569801,5.796929,19.584738,40.373547,40.373547,5.774044,0.916260,0.000000
09/08/2022,17:44:46:682,2844206,1525,85,18.584781,11.423530,0.266032,6.593057,18.652270,38.225064,38.225064,5.603580,0.836060,0.968750
09/08/2022,17:44:47:697,2845221,1896,88,18.678004,13.183786,0.701455,6.537900,21.334293,42.110147,42.110147,5.955683,0.790894,0.000000
09/08/2022,17:44:48:701,2846225,1697,89,18.708981,12.276882,0.231530,7.225530,19.561859,39.324921,39.286215,5.695813,0.783203,0.000000
09/08/2022,17:44:49:700,2847224,1697,89,18.786161,12.936727,0.585070,6.075391,20.934749,41.636687,41.636687,5.959799,0.785156,0.000000
09/08/2022,17:44:50:700,2848224,1996,87,18.809888,12.069888,0.267153,6.511818,19.437836,39.247559,39.286845,5.733089,0.795044,0.953125
09/08/2022,17:44:51:683,2849207,1996,89,18.882885,12.911755,0.597215,6.344517,20.915106,41.678223,41.678223,5.954102,0.811890,0.968750
09/08/2022,17:44:52:765,2850289,1612,92,18.896568,11.964342,0.223627,7.284725,19.272971,38.799049,38.799049,5.723038,0.816284,0.000000
09/08/2022,17:44:53:635,2851159,1597,92,18.972042,12.931258,0.610409,5.916763,20.929041,41.562685,41.562685,5.925205,0.773438,0.000000
09/08/2022,17:44:54:732,2852256,1997,93,19.001150,12.343842,0.289219,6.792893,19.816820,39.714221,39.714221,5.800275,0.806152,0.000000
09/08/2022,17:44:55:726,2853250,1797,94,19.054664,12.407910,0.569376,7.869720,20.321850,40.808283,40.808283,5.915962,0.786865,0.000000
09/08/2022,17:44:56:682,2854206,1696,88,19.081716,12.270750,0.310605,9.202067,19.778012,39.852887,39.852887,5.811296,0.784912,0.000000
