Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:14:05:113,5572736,1159,45,6.568094,1.357381,0.091734,4.594759,6.043875,6.936896,18.150609,3.637490,0.728394,0.000000
18/08/2022,12:14:06:109,5573732,998,45,6.543306,1.273459,0.088108,4.519321,5.880888,6.898804,18.028418,3.599683,0.755615,0.000000
18/08/2022,12:14:07:105,5574728,1497,46,6.538686,1.646661,0.091031,4.675600,6.413292,6.881551,18.809001,3.703780,0.743530,0.000000
18/08/2022,12:14:08:116,5575739,998,45,6.520399,1.313727,0.088121,4.622739,6.024587,6.808209,18.326954,3.685005,0.731567,0.000000
18/08/2022,12:14:09:106,5576729,1251,45,6.507192,1.391010,0.088564,4.675066,6.154640,6.784633,18.586779,3.726656,0.760864,0.000000
18/08/2022,12:14:10:106,5577729,1459,45,6.490590,1.353635,0.091152,4.592386,6.037173,6.721707,18.143594,3.632208,0.737305,0.000000
18/08/2022,12:14:11:123,5578746,1695,46,6.473785,1.353932,0.086157,4.580420,6.020508,6.696639,18.097624,3.634631,0.740601,0.000000
18/08/2022,12:14:12:096,5579719,1098,46,6.475483,1.598557,0.087742,4.834250,6.520549,6.690243,19.538459,3.852491,0.741699,0.000000
18/08/2022,12:14:13:121,5580744,1873,45,6.461951,1.284752,0.086718,4.714194,6.085664,6.669255,18.615848,3.765361,0.766968,0.921875
18/08/2022,12:14:14:115,5581738,1297,45,6.458494,1.533493,0.088816,4.745295,6.367604,6.658213,19.044934,3.760182,0.728760,0.000000
18/08/2022,12:14:15:106,5582729,1100,45,6.441629,1.327377,0.085388,4.571134,5.983899,6.634251,18.098122,3.634020,0.769409,0.000000
18/08/2022,12:14:16:113,5583736,1497,45,6.426291,1.319654,0.090628,4.597550,6.007832,6.612102,18.205502,3.650861,0.733643,0.000000
18/08/2022,12:14:17:122,5584745,914,46,6.455208,2.349823,0.087522,4.792987,7.230332,6.634358,20.590347,3.862584,0.753906,0.000000
18/08/2022,12:14:18:116,5585739,1461,45,6.448456,1.537191,0.088619,4.642041,6.267850,6.621164,18.382570,3.663438,0.735840,0.000000
18/08/2022,12:14:19:125,5586748,1062,45,6.439209,1.423499,0.087167,4.677563,6.188229,6.605779,18.712408,3.724620,0.779053,0.000000
18/08/2022,12:14:20:119,5587742,1432,45,6.423996,1.333751,0.086890,4.595984,6.016625,6.584570,18.016562,3.625996,0.744629,0.000000
18/08/2022,12:14:21:111,5588734,1295,45,6.413189,1.349521,0.082321,4.688052,6.119894,6.568057,18.629170,3.747215,0.733032,0.000000
