timestamp,Date,Relative Time(mS),Power-IA Power(Watts),Power-GT Power(Watts),Power-Package Power(Watts),Turbo Parameters-MMIO Power Limit_1 Enabled(),Turbo Parameters-MMIO Power Limit_1 Critical Clamp(),Turbo Parameters-MMIO Power Limit_1 Power(Watts),Turbo Parameters-MMIO Power Limit_1 Time(Seconds),Turbo Parameters-MMIO Power Limit_2 Enabled(),Turbo Parameters-MMIO Power Limit_2 Power(Watts),Turbo Parameters-MMIO Power Limit_2 Time(Seconds),Turbo Parameters-PECI Pkg Power Limit_1 Enabled(),Turbo Parameters-PECI Pkg Power Limit_1 Power(Watts),Turbo Parameters-PECI Pkg Power Limit_1 Time(Seconds),Turbo Parameters-PECI Pkg Power Limit_2 Enabled(),Turbo Parameters-PECI Pkg Power Limit_2 Power(Watts),Turbo Parameters-PECI Pkg Power Limit_2 Time(Seconds)
152420575,20220805,43016,0.399353,0.003008,4.477112,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152421637,20220805,44078,0.495695,0.002173,3.710184,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152422608,20220805,45049,0.70518,0.000747,5.438853,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152423597,20220805,46038,0.751405,0.005783,5.780802,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152424590,20220805,47031,0.74711,0.001419,5.826235,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152425596,20220805,48037,0.480844,0.004057,4.642729,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152426612,20220805,49053,1.552938,0.224787,6.728125,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152427584,20220805,50025,1.246174,0.035203,6.639315,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152428610,20220805,51051,3.277186,0.385614,8.40056,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152429607,20220805,52048,1.878883,0.084117,7.149442,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152430604,20220805,53045,2.194269,0.459782,7.410879,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152431671,20220805,54112,7.260549,0.010724,12.879889,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152432642,20220805,55083,3.171826,0.325654,9.005002,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152433607,20220805,56048,6.032109,0.002954,11.355874,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152434663,20220805,57104,1.821567,0.247366,7.477375,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152435600,20220805,58041,1.916192,0.013872,6.399444,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152436640,20220805,59081,1.338214,0.003908,5.66031,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152437620,20220805,60061,2.636143,0.379605,8.395124,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152438629,20220805,61070,1.34184,0.163009,6.307277,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152439602,20220805,62043,1.898865,0.120195,7.013962,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152440644,20220805,63085,0.753938,0.188312,5.679218,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152441598,20220805,64039,5.525146,0.454601,11.387801,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152442662,20220805,65103,8.115117,0.269732,13.440722,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152443604,20220805,66045,6.475979,0.134404,12.234336,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152444643,20220805,67084,3.204767,0.39261,8.956536,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152445604,20220805,68045,1.58979,0.005986,6.335097,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152446619,20220805,69060,2.249282,0.239695,7.500528,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152447714,20220805,70155,2.328476,0.362423,7.186754,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152448573,20220805,71014,12.881874,1.13531,20.302411,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152449680,20220805,72121,12.037923,0.441812,18.748735,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152450588,20220805,73029,8.39933,0.406479,14.719507,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152451769,20220805,74210,15.353778,0.711403,22.4999,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152452566,20220805,75007,16.749606,0.353818,23.586163,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152453704,20220805,76145,4.516755,0.086722,10.538226,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152454587,20220805,77028,1.447214,0.001018,6.765793,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152455653,20220805,78094,0.99488,0.002627,6.338601,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152456620,20220805,79061,1.694957,0.005439,7.042117,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152457649,20220805,80090,1.380897,0.153882,6.881887,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152458625,20220805,81066,1.393191,0.3117,6.547073,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152459691,20220805,82132,0.796959,0.010381,5.923412,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152500599,20220805,83040,1.212229,0.002519,6.55647,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152501685,20220805,84126,2.32263,0.054985,7.418326,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152502626,20220805,85067,0.903444,0.104311,5.68588,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152503679,20220805,86120,5.19908,0.075953,10.139425,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152504615,20220805,87056,9.76661,0.128272,15.938465,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152505636,20220805,88077,2.94149,0.227447,8.853358,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152506657,20220805,89098,3.920776,0.059959,8.74369,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152507637,20220805,90078,2.60329,0.180714,7.898224,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152508638,20220805,91079,0.821982,0.01283,5.184438,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152509646,20220805,92087,7.82311,0.56895,14.314116,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152510648,20220805,93089,23.031204,0.011444,28.900146,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152511671,20220805,94112,20.794166,0.013645,26.834027,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152512604,20220805,95045,19.98612,0.062407,26.091008,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152513644,20220805,96085,17.645506,0.084913,24.076897,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152514633,20220805,97074,1.086426,0.052702,6.086027,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152515670,20220805,98111,0.598083,0.001911,5.39335,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152516636,20220805,99077,0.536591,0.002651,4.367725,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152517662,20220805,100103,1.205286,0.021293,5.120824,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152518640,20220805,101081,0.722904,0.02088,5.184359,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152519662,20220805,102103,0.897323,0.06091,5.728888,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152520643,20220805,103084,2.625946,0.251553,7.75822,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152521640,20220805,104081,0.87577,0.095379,5.467095,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152522653,20220805,105094,0.557091,0.004714,4.511031,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152523721,20220805,106162,1.806231,0.043743,6.266738,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152524651,20220805,107092,5.370351,0.459135,11.045134,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152525652,20220805,108093,2.079527,0.30091,7.303742,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152526655,20220805,109096,0.920771,0.01628,5.715232,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152527667,20220805,110108,1.013135,0.007607,5.717832,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152528727,20220805,111168,12.825654,0.233576,19.132922,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152529632,20220805,112073,5.301717,0.214457,11.074803,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152530694,20220805,113135,4.7571,0.155657,10.181676,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152531635,20220805,114076,5.186322,0.098852,10.384482,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152532670,20220805,115111,3.054482,0.010897,7.467175,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152533681,20220805,116122,3.599777,0.118532,8.108358,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152534633,20220805,117074,3.519855,0.126663,8.879286,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152535643,20220805,118084,14.374772,0.172538,20.571922,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152536663,20220805,119104,9.50257,0.474745,15.826658,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152537647,20220805,120088,8.254766,0.482357,14.534206,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152538689,20220805,121130,1.433272,0.190053,6.276697,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152539664,20220805,122105,4.520995,0.14509,9.930572,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152540680,20220805,123121,0.82651,0.14204,5.095277,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152541684,20220805,124125,6.818876,0.555144,13.381237,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152542725,20220805,125166,10.705189,0.317772,17.272036,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152543693,20220805,126134,9.052786,0.171379,15.329381,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152544633,20220805,127074,10.01745,0.026455,16.238438,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152545719,20220805,128160,3.511924,0.031816,9.313965,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152546645,20220805,129086,4.060187,0.005395,9.533006,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152547727,20220805,130168,1.954693,0.008495,7.182348,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152548689,20220805,131130,2.579517,0.008817,8.073364,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152549694,20220805,132135,9.1149,0.153824,15.245669,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152550669,20220805,133110,1.626815,0.092555,7.026695,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152551718,20220805,134159,1.057818,0.073054,6.020485,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152552647,20220805,135088,0.844368,0.005178,6.067185,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152553763,20220805,136204,0.954553,0.023783,6.19497,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152554651,20220805,137092,2.896271,0.487406,8.83823,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152555701,20220805,138142,0.598804,0.01196,5.122967,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152556732,20220805,139173,1.123953,0.086878,6.077557,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152557652,20220805,140093,0.795413,0.057006,5.563325,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152558800,20220805,141241,0.960176,0.039474,5.582129,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152559687,20220805,142128,4.379219,0.119571,9.942031,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152600732,20220805,143173,2.060126,0.105212,7.820216,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152601692,20220805,144133,1.148162,0.030547,5.895144,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152602740,20220805,145181,0.463422,0.00426,3.868167,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152603671,20220805,146112,1.157105,0.063248,5.856288,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152604757,20220805,147198,0.695643,0.021307,5.376928,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152605675,20220805,148116,0.86045,0.034227,5.5823,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152606705,20220805,149146,1.294437,0.042618,5.118243,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152607673,20220805,150114,7.470644,0.65278,13.593892,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152608704,20220805,151145,0.496226,0.002585,4.806456,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152609707,20220805,152148,0.950041,0.216731,6.279339,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152610723,20220805,153164,1.380343,0.03998,6.628126,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152611688,20220805,154129,1.712953,0.241618,6.843987,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152612702,20220805,155143,1.651301,0.610668,7.423456,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152613706,20220805,156147,1.107601,0.005959,5.974282,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152614691,20220805,157132,3.729467,0.481351,9.815778,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152615702,20220805,158143,19.07172,0.165012,25.744443,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152616735,20220805,159176,11.066441,0.150143,17.401546,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152617673,20220805,160114,1.259071,0.284339,7.021286,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152618713,20220805,161154,0.45506,0.005537,4.220731,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152619713,20220805,162154,1.39261,0.003518,6.390968,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152620734,20220805,163175,2.019531,0.552307,7.997435,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152621692,20220805,164133,0.913373,0.316066,5.214975,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152622773,20220805,165214,1.186936,0.148574,6.280951,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152623707,20220805,166148,8.752249,0.253118,14.162245,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152624686,20220805,167127,4.195595,0.098781,9.652255,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152625773,20220805,168214,17.664508,0.728249,24.959829,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152626750,20220805,169191,9.493802,0.626467,16.087003,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152627716,20220805,170157,2.741022,0.227523,7.875034,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152628680,20220805,171121,1.142545,0.27826,5.835239,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152629738,20220805,172179,1.817111,0.120359,7.141937,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152630708,20220805,173149,0.839867,0.022571,5.453166,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152631736,20220805,174177,1.50862,0.027148,6.163796,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152632764,20220805,175205,0.980247,0.04796,5.466658,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152633709,20220805,176150,1.761529,0.258865,6.671178,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152634751,20220805,177192,1.690403,0.045615,7.133887,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152635738,20220805,178179,1.82795,0.129158,7.209646,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152636697,20220805,179138,1.455877,0.040257,6.004697,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152637710,20220805,180151,0.581966,0.028322,4.934046,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152638735,20220805,181176,0.620956,0.040489,4.527206,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152639708,20220805,182149,0.734801,0.139976,5.249737,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152640741,20220805,183182,0.793017,0.033218,5.796268,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152641730,20220805,184171,1.400621,0.021663,5.888063,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152642747,20220805,185188,1.040007,0.121144,6.197972,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152643715,20220805,186156,1.171251,0.143976,5.766052,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152644801,20220805,187242,1.153993,0.289854,6.228297,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152645669,20220805,188110,1.758386,0.056651,6.864095,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152646761,20220805,189202,1.454507,0.054144,6.285848,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152647743,20220805,190184,0.560764,0.039648,4.62945,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152648703,20220805,191144,3.020587,0.035713,7.15025,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152649749,20220805,192190,2.484067,0.136948,7.659594,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152650764,20220805,193205,0.893412,0.015638,5.555308,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152651709,20220805,194150,3.676977,0.330035,8.888681,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152652760,20220805,195201,3.845989,0.438795,9.419544,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152653742,20220805,196183,0.772609,0.026481,4.735654,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152654737,20220805,197178,10.247567,0.257379,16.404907,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152655792,20220805,198233,1.988949,0.004846,6.78944,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152656710,20220805,199151,8.034078,0.023662,13.326723,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152657737,20220805,200178,1.876266,0.163159,6.723109,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152658719,20220805,201160,0.851108,0.025412,5.345385,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152659726,20220805,202167,0.683955,0.047161,4.787371,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152700756,20220805,203197,0.685145,0.036185,5.071858,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152701717,20220805,204158,0.761517,0.041539,4.89899,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152702739,20220805,205180,0.326325,0.00127,3.352107,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152703723,20220805,206164,0.424917,0.005972,3.430988,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
152704746,20220805,207187,0.408967,0.002293,4.860195,Yes,1,15,28,Yes,28,0.002441,Yes,28,28,Yes,64,28
